Date (Denmark),Price,Open,High,Low,Change %
2022-06-03,"1,6542",,,,"3,28%"
2022-06-02,"1,6017",,,,"0,85%"
2022-06-01,"1,5882",,,,"5,75%"
2022-05-31,"1,5019",,,,"6,12%"
2022-05-30,"1,4153",,,,"5,9%"
2022-05-27,"1,3365",,,,"0,19%"
2022-05-26,"1,3339",,,,"2,62%"
2022-05-25,"1,2998",,,,"-0,2%"
2022-05-24,"1,3024",,,,"-4,24%"
2022-05-23,"1,3601",,,,"4,39%"
2022-05-20,"1,3029",,,,"0,84%"
2022-05-19,"1,2921",,,,"-6,4%"
2022-05-18,"1,3804",,,,"-1,62%"
2022-05-17,"1,4031",,,,"8,69%"
2022-05-16,"1,2909",,,,"3,05%"
2022-05-13,"1,2527",,,,"2,04%"
2022-05-12,"1,2277",,,,"-10,29%"
2022-05-11,"1,3685",,,,"0,26%"
2022-05-10,"1,3649",,,,"-6,39%"
2022-05-09,"1,458",,,,"-2,71%"
2022-05-06,"1,4986",,,,"8,09%"
2022-05-05,"1,3864",,,,"5,62%"
2022-05-04,"1,3126",,,,"3,31%"
2022-05-03,"1,2706",,,,"-1,48%"
2022-05-02,"1,2897",,,,"0,69%"
2022-04-29,"1,2809",,,,"3,79%"
2022-04-28,"1,2341",,,,"9,48%"
2022-04-27,"1,1272",,,,"0,6%"
2022-04-26,"1,1205",,,,"-3,18%"
2022-04-25,"1,1573",,,,"-9,3%"
2022-04-22,"1,2759",,,,"3,24%"
2022-04-21,"1,2358",,,,"6,17%"
2022-04-20,"1,164",,,,"-2,92%"
2022-04-19,"1,199",,,,"9,77%"
2022-04-18,"1,0923",,,,"0,61%"
2022-04-15,"1,0857",,,,"1,59%"
2022-04-14,"1,0687",,,,"0,62%"
2022-04-13,"1,0621",,,,"-0,66%"
2022-04-12,"1,0692",,,,"-1,99%"
2022-04-11,"1,0909",,,,"11,43%"
2022-04-08,"0,979",,,,"2,99%"
2022-04-07,"0,9506",,,,"2,16%"
2022-04-06,"0,9305",,,,"3,94%"
2022-04-05,"0,8952",,,,"11,8%"
2022-04-04,"0,8007",,,,"-3,87%"
2022-04-01,"0,8329",,,,"1,3%"
2022-03-31,"0,8222",,,,"-11,34%"
2022-03-30,"0,9274",,,,"1,4%"
2022-03-29,"0,9146",,,,"10,09%"
2022-03-28,"0,8308",,,,"0,17%"
2022-03-25,"0,8294",,,,"5,76%"
2022-03-24,"0,7842",,,,"6,72%"
2022-03-23,"0,7348",,,,"-3,39%"
2022-03-22,"0,7606",,,,"8,58%"
2022-03-21,"0,7005",,,,"12,4%"
2022-03-18,"0,6232",,,,"-5,53%"
2022-03-17,"0,6597",,,,"-0,65%"
2022-03-16,"0,664",,,,"10,35%"
2022-03-15,"0,6017",,,,"-7,59%"
2022-03-14,"0,6511",,,,"15,06%"
2022-03-11,"0,5659",,,,"3,63%"
2022-03-10,"0,5461",,,,"10,48%"
2022-03-09,"0,4943",,,,"20,83%"
2022-03-08,"0,4091",,,,"38,44%"
2022-03-07,"0,2955",,,,"36,24%"
2022-03-04,"0,2169",,,,"-34,71%"
2022-03-03,"0,3322",,,,"-0,51%"
2022-03-02,"0,3339",,,,"23,48%"
2022-03-01,"0,2704",,,,"-40,02%"
2022-02-28,"0,4508",,,,"-13,92%"
2022-02-25,"0,5237",,,,"8,61%"
2022-02-24,"0,4822",,,,"-3,71%"
2022-02-23,"0,5008",,,,"-9,57%"
2022-02-22,"0,5538",,,,"7,2%"
2022-02-21,"0,5166",,,,"5,88%"
2022-02-18,"0,4879",,,,"-9,56%"
2022-02-17,"0,5395",,,,"-7,4%"
2022-02-16,"0,5826",,,,"-7,9%"
2022-02-15,"0,6326",,,,"8,08%"
2022-02-14,"0,5853",,,,"0,58%"
2022-02-11,"0,5819",,,,"5,65%"
2022-02-10,"0,5508",,,,"18,17%"
2022-02-09,"0,4661",,,,"-12,27%"
2022-02-08,"0,5313",,,,"4,61%"
2022-02-07,"0,5079",,,,"6,68%"
2022-02-04,"0,4761",,,,"21,27%"
2022-02-03,"0,3926",,,,"46,88%"
2022-02-02,"0,2673",,,,"5,28%"
2022-02-01,"0,2539",,,,"13,4%"
2022-01-31,"0,2239",,,,"44,08%"
2022-01-28,"0,1554",,,,"16,23%"
2022-01-27,"0,1337",,,,"-1,18%"
2022-01-26,"0,1353",,,,"19,21%"
2022-01-25,"0,1135",,,,"37,41%"
2022-01-24,"0,0826",,,,"-37,8%"
2022-01-21,"0,1328",,,,"-14,05%"
2022-01-20,"0,1545",,,,"-10,38%"
2022-01-19,"0,1724",,,,"1,95%"
2022-01-18,"0,1691",,,,"3,3%"
2022-01-17,"0,1637",,,,"7,41%"
2022-01-14,"0,1524",,,,"66,74%"
2022-01-13,"0,0914",,,,"-33,24%"
2022-01-12,"0,1369",,,,"-15,07%"
2022-01-11,"0,1612",,,,"11,56%"
2022-01-10,"0,1445",,,,"1,47%"
2022-01-07,"0,1424",,,,"8,95%"
2022-01-06,"0,1307",,,,"36,72%"
2022-01-05,"0,0956",,,,"-6,55%"
2022-01-04,"0,1023",,,,"-13,74%"
2022-01-03,"0,1186",,,,"41,36%"
2021-12-30,"0,0839",,,,"7,29%"
2021-12-29,"0,0782",,,,"91,2%"
2021-12-28,"0,0409",,,,"12,67%"
2021-12-27,"0,0363",,,,"282,11%"
2021-12-24,"0,0095",,,,"-64,94%"
2021-12-23,"0,0271",,,,"-322,68%"
2021-12-22,"-0,01217",,,,"-60,15%"
2021-12-21,"-0,03054",,,,"-68,07%"
2021-12-20,"-0,09565",,,,"-5,86%"
2021-12-17,"-0,1016",,,,"19,53%"
2021-12-16,"-0,085",,,,"-17,64%"
2021-12-15,"-0,1032",,,,"-1,05%"
2021-12-14,"-0,1043",,,,"-12,21%"
2021-12-13,"-0,1188",,,,"15,68%"
2021-12-10,"-0,1027",,,,"37,85%"
2021-12-09,"-0,0745",,,,"159,58%"
2021-12-08,"-0,0287",,,,"-69,21%"
2021-12-07,"-0,0932",,,,"-6,05%"
2021-12-06,"-0,0992",,,,"10,83%"
2021-12-03,"-0,08951",,,,"5,06%"
2021-12-02,"-0,0852",,,,"118,01%"
2021-12-01,"-0,03908",,,,"-40,24%"
2021-11-30,"-0,06539",,,,"56,59%"
2021-11-29,"-0,04176",,,,"-25,69%"
2021-11-26,"-0,0562",,,,"-253,97%"
2021-11-25,"0,0365",,,,"-49,02%"
2021-11-24,"0,0716",,,,"51,05%"
2021-11-23,"0,0474",,,,"-679,89%"
2021-11-22,"-0,008174",,,,"-83,07%"
2021-11-19,"-0,04827",,,,"-227,7%"
2021-11-18,"0,0378",,,,"-12,3%"
2021-11-17,"0,0431",,,,"62,64%"
2021-11-16,"0,0265",,,,"1,53%"
2021-11-15,"0,0261",,,,"41,85%"
2021-11-12,"0,0184",,,,"-42,32%"
2021-11-11,"0,0319",,,,-680%
2021-11-10,"-0,0055",,,,"-77,55%"
2021-11-09,"-0,0245",,,,"-271,33%"
2021-11-08,"0,0143",,,,"-198,62%"
2021-11-05,"-0,0145",,,,"-121,9%"
2021-11-04,"0,0662",,,,"-37,25%"
2021-11-03,"0,1055",,,,"16,57%"
2021-11-02,0.085,0.160,0.160,0.075,-36.57%
2021-11-01,0.134,0.137,0.183,0.126,-2.55%
2021-10-29,0.138,0.100,0.184,0.100,28.50%
2021-10-28,0.107,0.074,0.144,0.061,100.00%
2021-10-27,0.054,0.132,0.132,0.047,-52.86%
2021-10-26,0.113,0.133,0.147,0.105,-13.69%
2021-10-25,0.132,0.134,0.170,0.125,-7.07%
2021-10-22,0.141,0.172,0.184,0.134,-23.72%
2021-10-21,0.185,0.149,0.186,0.128,32.03%
2021-10-20,0.140,0.150,0.160,0.123,-4.10%
2021-10-19,0.147,0.098,0.155,0.077,40.19%
2021-10-18,0.105,0.113,0.136,0.086,12.37%
2021-10-15,0.093,0.074,0.103,0.068,53.72%
2021-10-14,0.060,0.134,0.149,0.055,-52.92%
2021-10-13,0.128,0.177,0.178,0.114,-26.36%
2021-10-12,0.175,0.146,0.185,0.132,15.95%
2021-10-11,0.150,0.137,0.162,0.117,25.94%
2021-10-08,0.119,0.105,0.125,0.079,41.42%
2021-10-07,0.084,0.098,0.103,0.065,-3.98%
2021-10-06,0.088,0.105,0.120,0.068,8.64%
2021-10-05,0.081,0.054,0.100,0.036,62.00%
2021-10-04,0.050,0.035,0.100,0.026,72.41%
2021-10-01,0.029,0.068,0.099,0.019,-64.63%
2021-09-30,0.082,0.081,0.112,0.070,-4.09%
2021-09-29,0.086,0.096,0.112,0.063,-16.59%
2021-09-28,0.102,0.094,0.123,0.078,28.93%
2021-09-27,0.079,0.063,0.109,0.058,-2.45%
2021-09-24,0.082,0.058,0.086,0.049,56.73%
2021-09-23,0.052,-0.029,0.052,-0.029,-270.49%
2021-09-22,-0.031,-0.023,-0.011,-0.041,3.39%
2021-09-21,-0.030,-0.022,-0.002,-0.051,-10.61%
2021-09-20,-0.033,0.013,0.013,-0.040,-571.43%
2021-09-17,0.007,-0.006,0.050,-0.022,133.33%
2021-09-16,0.003,-0.020,0.010,-0.026,-110.91%
2021-09-15,-0.027,-0.052,-0.020,-0.062,-46.60%
2021-09-14,-0.052,-0.034,-0.011,-0.064,27.16%
2021-09-13,-0.041,-0.043,-0.030,-0.074,3.85%
2021-09-10,-0.039,-0.075,-0.038,-0.076,-51.85%
2021-09-09,-0.081,-0.038,-0.026,-0.083,128.17%
2021-09-08,-0.036,-0.023,-0.017,-0.047,61.36%
2021-09-07,-0.022,-0.069,-0.019,-0.073,-68.57%
2021-09-06,-0.070,-0.065,-0.052,-0.076,10.24%
2021-09-03,-0.064,-0.077,-0.049,-0.097,-25.73%
2021-09-02,-0.086,-0.068,-0.068,-0.097,17.93%
2021-09-01,-0.072,-0.068,-0.049,-0.090,-15.70%
2021-08-31,-0.086,-0.136,-0.072,-0.145,-37.68%
2021-08-30,-0.138,-0.121,-0.103,-0.138,14.52%
2021-08-27,-0.120,-0.105,-0.097,-0.122,13.68%
2021-08-26,-0.106,-0.115,-0.093,-0.130,-10.55%
2021-08-25,-0.119,-0.167,-0.107,-0.207,-27.74%
2021-08-24,-0.164,-0.171,-0.157,-0.188,-7.61%
2021-08-23,-0.177,-0.179,-0.150,-0.192,-7.07%
2021-08-20,-0.191,-0.183,-0.180,-0.197,4.09%
2021-08-19,-0.184,-0.185,-0.169,-0.199,4.86%
2021-08-18,-0.175,-0.164,-0.163,-0.186,3.55%
2021-08-17,-0.169,-0.171,-0.161,-0.198,2.11%
2021-08-16,-0.166,-0.179,-0.150,-0.187,-2.93%
2021-08-13,-0.170,-0.151,-0.139,-0.171,14.43%
2021-08-12,-0.149,-0.156,-0.138,-0.166,-7.74%
2021-08-11,-0.162,-0.148,-0.128,-0.180,4.87%
2021-08-10,-0.154,-0.155,-0.140,-0.176,0.00%
2021-08-09,-0.154,-0.158,-0.146,-0.174,2.33%
2021-08-06,-0.150,-0.190,-0.144,-0.193,-24.56%
2021-08-05,-0.199,-0.189,-0.186,-0.218,0.50%
2021-08-04,-0.199,-0.183,-0.171,-0.213,5.87%
2021-08-03,-0.188,-0.172,-0.150,-0.191,2.46%
2021-08-02,-0.183,-0.154,-0.139,-0.192,12.96%
2021-07-30,-0.162,-0.156,-0.132,-0.166,4.85%
2021-07-29,-0.154,-0.153,-0.117,-0.165,-4.63%
2021-07-28,-0.162,-0.140,-0.131,-0.162,14.49%
2021-07-27,-0.141,-0.112,-0.112,-0.144,28.05%
2021-07-26,-0.111,-0.128,-0.095,-0.146,-11.24%
2021-07-23,-0.124,-0.122,-0.097,-0.125,-3.11%
2021-07-22,-0.128,-0.100,-0.082,-0.137,24.76%
2021-07-21,-0.103,-0.125,-0.094,-0.140,-17.27%
2021-07-20,-0.124,-0.107,-0.102,-0.151,11.16%
2021-07-19,-0.112,-0.088,-0.074,-0.120,69.70%
2021-07-16,-0.066,-0.058,-0.051,-0.084,32.00%
2021-07-15,-0.050,-0.046,-0.038,-0.060,47.06%
2021-07-14,-0.034,-0.019,0.010,-0.038,70.00%
2021-07-13,-0.020,-0.021,-0.007,-0.034,-16.67%
2021-07-12,-0.024,-0.019,-0.013,-0.038,77.78%
2021-07-09,-0.014,-0.025,-0.009,-0.039,-67.86%
2021-07-08,-0.042,-0.034,-0.029,-0.076,211.11%
2021-07-07,-0.014,0.009,0.029,-0.049,-280.00%
2021-07-06,0.007,0.066,0.097,0.004,-88.37%
2021-07-05,0.064,0.040,0.097,0.038,43.33%
2021-07-02,0.045,0.072,0.078,0.032,-39.60%
2021-07-01,0.075,0.079,0.097,0.064,7.97%
2021-06-30,0.069,0.109,0.115,0.063,-33.01%
2021-06-29,0.103,0.087,0.119,0.086,21.18%
2021-06-28,0.085,0.123,0.125,0.081,-27.35%
2021-06-25,0.117,0.091,0.124,0.086,32.95%
2021-06-24,0.088,0.097,0.115,0.082,-6.38%
2021-06-23,0.094,0.113,0.130,0.079,-19.31%
2021-06-22,0.116,0.105,0.136,0.101,13.11%
2021-06-21,0.103,0.078,0.119,0.058,38.26%
2021-06-18,0.075,0.086,0.092,0.058,-14.37%
2021-06-17,0.087,0.075,0.127,0.075,-22.67%
2021-06-16,0.112,0.094,0.116,0.072,25.00%
2021-06-15,0.090,0.073,0.097,0.062,20.81%
2021-06-14,0.075,0.054,0.076,0.046,35.45%
2021-06-11,0.055,0.075,0.075,0.038,-7.56%
2021-06-10,0.060,0.086,0.114,0.060,-30.81%
2021-06-09,0.086,0.106,0.116,0.064,-23.89%
2021-06-08,0.113,0.136,0.138,0.098,-18.41%
2021-06-07,0.139,0.122,0.140,0.116,18.88%
2021-06-04,0.116,0.149,0.153,0.113,-18.53%
2021-06-03,0.143,0.126,0.156,0.126,9.58%
2021-06-02,0.131,0.146,0.146,0.125,-3.69%
2021-06-01,0.135,0.127,0.150,0.122,7.11%
2021-05-31,0.126,0.137,0.162,0.126,-4.53%
2021-05-28,0.132,0.138,0.159,0.122,-2.93%
2021-05-27,0.137,0.108,0.149,0.100,24.66%
2021-05-26,0.109,0.148,0.149,0.099,-20.36%
2021-05-25,0.138,0.172,0.175,0.138,-22.75%
2021-05-24,0.178,0.179,0.196,0.168,-4.56%
2021-05-21,0.186,0.212,0.214,0.174,-11.40%
2021-05-20,0.211,0.204,0.230,0.191,0.96%
2021-05-19,0.208,0.188,0.231,0.177,11.20%
2021-05-18,0.188,0.167,0.193,0.162,12.28%
2021-05-17,0.167,0.139,0.181,0.127,18.86%
2021-05-14,0.140,0.149,0.167,0.135,-6.02%
2021-05-13,0.149,0.157,0.178,0.144,-4.17%
2021-05-12,0.156,0.120,0.158,0.097,32.77%
2021-05-11,0.117,0.060,0.123,0.060,72.79%
2021-05-10,0.068,0.053,0.081,0.053,21.43%
2021-05-07,0.056,0.047,0.065,0.014,27.27%
2021-05-06,0.044,0.045,0.064,0.019,29.41%
2021-05-05,0.034,0.038,0.065,0.032,7.94%
2021-05-04,0.032,0.069,0.086,0.021,-49.19%
2021-05-03,0.062,0.072,0.112,0.051,-11.43%
2021-04-30,0.070,0.081,0.083,0.062,-15.15%
2021-04-29,0.083,0.045,0.097,0.040,189.47%
2021-04-28,0.029,0.037,0.072,0.024,-24.00%
2021-04-27,0.038,0.022,0.048,0.012,97.37%
2021-04-26,0.019,0.020,0.049,0.010,-5.00%
2021-04-23,0.020,0.021,0.048,-0.001,400.00%
2021-04-22,0.004,0.015,0.048,-0.009,-60.00%
2021-04-21,0.010,0.013,0.048,0.001,-37.50%
2021-04-20,0.016,0.045,0.070,0.010,-64.84%
2021-04-19,0.045,0.017,0.063,0.003,127.50%
2021-04-16,0.020,-0.001,0.029,-0.004,-253.85%
2021-04-15,-0.013,0.021,0.048,-0.024,-152.00%
2021-04-14,0.025,-0.004,0.048,-0.025,-219.05%
2021-04-13,-0.021,-0.005,0.023,-0.022,200.00%
2021-04-12,-0.007,-0.012,-0.001,-0.043,-22.22%
2021-04-09,-0.009,-0.038,0.009,-0.039,-80.43%
2021-04-08,-0.046,-0.019,-0.014,-0.052,360.00%
2021-04-07,-0.010,-0.018,-0.008,-0.041,0.00%
2021-04-06,-0.010,-0.022,0.019,-0.031,-62.26%
2021-04-05,-0.026,-0.026,-0.026,-0.026,0.00%
2021-04-02,-0.026,-0.026,-0.026,-0.026,120.83%
2021-04-01,-0.012,0.010,0.028,-0.031,-150.00%
2021-03-31,0.024,0.022,0.048,-0.004,60.00%
2021-03-30,0.015,-0.002,0.076,-0.015,-236.36%
2021-03-29,-0.011,-0.049,-0.009,-0.065,-72.50%
2021-03-26,-0.040,-0.086,-0.036,-0.086,-45.21%
2021-03-25,-0.073,-0.056,-0.056,-0.087,16.80%
2021-03-24,-0.063,-0.043,-0.040,-0.075,21.36%
2021-03-23,-0.052,-0.020,-0.018,-0.056,390.48%
2021-03-22,-0.010,0.002,0.002,-0.038,-240.00%
2021-03-19,0.007,0.007,0.031,-0.016,-53.13%
2021-03-18,0.016,0.002,0.076,-0.007,-328.57%
2021-03-17,-0.007,-0.036,0.019,-0.043,-82.05%
2021-03-16,-0.039,-0.054,-0.037,-0.067,-15.22%
2021-03-15,-0.046,-0.018,-0.013,-0.062,-71.78%
2021-03-12,-0.163,-0.179,-0.147,-0.188,-14.66%
2021-03-11,-0.191,-0.176,-0.167,-0.226,14.71%
2021-03-10,-0.167,-0.181,-0.155,-0.183,-2.35%
2021-03-09,-0.170,-0.160,-0.154,-0.201,14.81%
2021-03-08,-0.148,-0.162,-0.144,-0.171,-12.65%
2021-03-05,-0.170,-0.160,-0.146,-0.181,-5.82%
2021-03-04,-0.181,-0.160,-0.159,-0.199,11.76%
2021-03-03,-0.162,-0.221,-0.152,-0.225,-25.40%
2021-03-02,-0.216,-0.200,-0.171,-0.219,9.90%
2021-03-01,-0.197,-0.157,-0.112,-0.208,37.76%
2021-02-26,-0.143,-0.083,-0.056,-0.147,326.87%
2021-02-25,-0.034,-0.162,-0.030,-0.167,-80.86%
2021-02-24,-0.175,-0.201,-0.141,-0.208,-9.33%
2021-02-23,-0.193,-0.227,-0.162,-0.227,-9.39%
2021-02-22,-0.213,-0.167,-0.162,-0.243,10.08%
2021-02-19,-0.193,-0.235,-0.189,-0.235,-17.13%
2021-02-18,-0.234,-0.259,-0.216,-0.268,-9.32%
2021-02-17,-0.257,-0.234,-0.223,-0.268,10.04%
2021-02-16,-0.234,-0.287,-0.231,-0.296,-17.02%
2021-02-15,-0.282,-0.299,-0.276,-0.333,-12.96%
2021-02-12,-0.324,-0.359,-0.323,-0.369,-9.75%
2021-02-11,-0.359,-0.351,-0.350,-0.377,2.72%
2021-02-10,-0.350,-0.344,-0.331,-0.359,1.90%
2021-02-09,-0.343,-0.342,-0.329,-0.359,1.18%
2021-02-08,-0.339,-0.325,-0.313,-0.353,1.19%
2021-02-05,-0.335,-0.357,-0.313,-0.364,-5.10%
2021-02-04,-0.353,-0.354,-0.341,-0.370,-1.40%
2021-02-03,-0.358,-0.370,-0.357,-0.382,-4.91%
2021-02-02,-0.377,-0.402,-0.372,-0.408,-7.49%
2021-02-01,-0.407,-0.417,-0.393,-0.423,-1.93%
2021-01-29,-0.415,-0.430,-0.387,-0.439,-3.26%
2021-01-28,-0.429,-0.449,-0.423,-0.457,-4.45%
2021-01-27,-0.449,-0.436,-0.428,-0.467,3.94%
2021-01-26,-0.432,-0.442,-0.429,-0.465,-5.26%
2021-01-25,-0.456,-0.423,-0.412,-0.458,7.55%
2021-01-22,-0.424,-0.394,-0.394,-0.431,7.07%
2021-01-21,-0.396,-0.443,-0.396,-0.487,-9.69%
2021-01-20,-0.438,-0.428,-0.417,-0.445,1.04%
2021-01-19,-0.434,-0.428,-0.413,-0.438,-1.36%
2021-01-18,-0.440,-0.460,-0.425,-0.466,-3.72%
2021-01-15,-0.457,-0.465,-0.442,-0.475,0.00%
2021-01-14,-0.457,-0.449,-0.438,-0.475,-0.54%
2021-01-13,-0.460,-0.417,-0.409,-0.466,9.93%
2021-01-12,-0.418,-0.419,-0.387,-0.429,-3.02%
2021-01-11,-0.431,-0.465,-0.424,-0.475,-6.71%
2021-01-08,-0.462,-0.451,-0.450,-0.474,-0.32%
2021-01-07,-0.463,-0.454,-0.445,-0.481,-0.86%
2021-01-06,-0.468,-0.447,-0.431,-0.486,-2.91%
2021-01-05,-0.481,-0.498,-0.478,-0.505,-4.27%
2021-01-04,-0.503,-0.464,-0.454,-0.510,8.99%
2021-01-01,-0.461,-0.461,-0.461,-0.461,-0.11%
2020-12-31,-0.462,-0.461,-0.461,-0.462,-2.43%
2020-12-30,-0.474,-0.463,-0.439,-0.477,1.07%
2020-12-29,-0.468,-0.458,-0.453,-0.472,-0.21%
2020-12-28,-0.470,-0.435,-0.426,-0.472,9.19%
2020-12-25,-0.430,-0.426,-0.426,-0.430,-2.49%
2020-12-24,-0.441,-0.426,-0.426,-0.441,-1.12%
2020-12-23,-0.446,-0.488,-0.423,-0.498,-8.70%
2020-12-22,-0.488,-0.477,-0.460,-0.498,2.41%
2020-12-21,-0.477,-0.498,-0.465,-0.517,0.85%
2020-12-18,-0.473,-0.475,-0.444,-0.489,-0.32%
2020-12-17,-0.475,-0.465,-0.444,-0.491,0.85%
2020-12-16,-0.470,-0.500,-0.442,-0.524,-7.65%
2020-12-15,-0.510,-0.506,-0.502,-0.550,-0.68%
2020-12-14,-0.513,-0.506,-0.491,-0.540,-2.56%
2020-12-11,-0.526,-0.498,-0.483,-0.538,3.74%
2020-12-10,-0.507,-0.508,-0.472,-0.525,0.50%
2020-12-09,-0.505,-0.491,-0.481,-0.509,0.40%
2020-12-08,-0.503,-0.482,-0.477,-0.515,3.60%
2020-12-07,-0.486,-0.456,-0.450,-0.498,5.66%
2020-12-04,-0.460,-0.458,-0.437,-0.472,-1.92%
2020-12-03,-0.468,-0.421,-0.414,-0.470,11.68%
2020-12-02,-0.419,-0.412,-0.403,-0.426,0.48%
2020-12-01,-0.417,-0.461,-0.413,-0.477,-10.02%
2020-11-30,-0.464,-0.482,-0.459,-0.493,-4.62%
2020-11-27,-0.486,-0.479,-0.468,-0.488,0.83%
2020-11-26,-0.482,-0.461,-0.454,-0.484,5.46%
2020-11-25,-0.458,-0.452,-0.440,-0.475,0.66%
2020-11-24,-0.454,-0.458,-0.454,-0.475,-3.81%
2020-11-23,-0.472,-0.484,-0.458,-0.488,-3.28%
2020-11-20,-0.488,-0.461,-0.452,-0.489,6.31%
2020-11-19,-0.460,-0.444,-0.442,-0.468,2.91%
2020-11-18,-0.447,-0.465,-0.433,-0.472,-2.19%
2020-11-17,-0.456,-0.438,-0.427,-0.460,4.34%
2020-11-16,-0.438,-0.440,-0.401,-0.461,-0.46%
2020-11-13,-0.440,-0.435,-0.423,-0.456,0.46%
2020-11-12,-0.438,-0.415,-0.393,-0.442,8.70%
2020-11-11,-0.403,-0.361,-0.350,-0.408,6.06%
2020-11-10,-0.380,-0.403,-0.366,-0.410,-6.41%
2020-11-09,-0.405,-0.501,-0.386,-0.529,-19.86%
2020-11-06,-0.506,-0.515,-0.486,-0.528,-2.22%
2020-11-05,-0.517,-0.525,-0.496,-0.536,-0.38%
2020-11-04,-0.520,-0.525,-0.496,-0.549,4.00%
2020-11-03,-0.500,-0.511,-0.481,-0.515,-2.54%
2020-11-02,-0.512,-0.511,-0.488,-0.520,1.99%
2020-10-30,-0.502,-0.510,-0.484,-0.512,0.40%
2020-10-29,-0.501,-0.493,-0.491,-0.518,-0.40%
2020-10-28,-0.502,-0.503,-0.491,-0.521,0.80%
2020-10-27,-0.498,-0.461,-0.453,-0.499,7.78%
2020-10-26,-0.463,-0.477,-0.442,-0.484,0.00%
2020-10-23,-0.463,-0.456,-0.437,-0.470,2.32%
2020-10-22,-0.452,-0.477,-0.447,-0.485,-3.83%
2020-10-21,-0.470,-0.472,-0.458,-0.493,-1.98%
2020-10-20,-0.480,-0.508,-0.479,-0.516,-6.07%
2020-10-19,-0.511,-0.503,-0.486,-0.513,0.39%
