Date (Austria),Price,Open,High,Low,Change %
2022-02-01,0.286,0.253,0.302,0.230,10.85%
2022-01-31,0.258,0.222,0.292,0.205,29.00%
2022-01-28,0.200,0.206,0.245,0.190,2.56%
2022-01-27,0.195,0.206,0.232,0.186,11.43%
2022-01-26,0.175,0.166,0.192,0.159,4.17%
2022-01-25,0.168,0.151,0.180,0.139,22.63%
2022-01-24,0.137,0.175,0.189,0.131,-21.71%
2022-01-21,0.175,0.183,0.211,0.153,-17.84%
2022-01-20,0.213,0.235,0.248,0.196,-2.74%
2022-01-19,0.219,0.236,0.261,0.217,-2.23%
2022-01-18,0.224,0.212,0.232,0.197,6.67%
2022-01-17,0.210,0.197,0.215,0.184,19.32%
2022-01-14,0.176,0.125,0.192,0.114,23.94%
2022-01-13,0.142,0.182,0.201,0.121,-13.41%
2022-01-12,0.164,0.195,0.208,0.144,-14.58%
2022-01-11,0.192,0.183,0.221,0.169,1.59%
2022-01-10,0.189,0.198,0.209,0.162,5.00%
2022-01-07,0.180,0.160,0.199,0.154,11.80%
2022-01-06,0.161,0.149,0.188,0.139,15.83%
2022-01-05,0.139,0.131,0.143,0.114,6.92%
2022-01-04,0.130,0.126,0.147,0.098,-10.96%
2022-01-03,0.146,0.100,0.154,0.080,69.77%
2021-12-30,0.086,0.086,0.105,0.066,-1.15%
2021-12-29,0.087,0.050,0.100,0.030,123.08%
2021-12-28,0.039,0.036,0.051,0.020,95.00%
2021-12-27,0.020,0.013,0.053,0.008,5.26%
2021-12-24,0.019,0.017,0.019,0.017,35.71%
2021-12-23,0.014,0.001,0.046,-0.023,-216.67%
2021-12-22,-0.012,-0.049,0.012,-0.051,-47.83%
2021-12-21,-0.023,-0.097,-0.020,-0.113,-77.45%
2021-12-20,-0.102,-0.123,-0.077,-0.142,-9.73%
2021-12-17,-0.113,-0.103,-0.084,-0.124,31.40%
2021-12-16,-0.086,-0.105,-0.041,-0.114,-13.13%
2021-12-15,-0.099,-0.115,-0.079,-0.123,-6.60%
2021-12-14,-0.106,-0.125,-0.086,-0.129,-11.67%
2021-12-13,-0.120,-0.093,-0.072,-0.129,29.03%
2021-12-10,-0.093,-0.076,-0.061,-0.107,0.00%
2021-12-09,-0.093,-0.075,-0.061,-0.102,63.16%
2021-12-08,-0.057,-0.113,-0.039,-0.153,-52.50%
2021-12-07,-0.120,-0.096,-0.080,-0.126,4.35%
2021-12-06,-0.115,-0.129,-0.103,-0.132,-0.86%
2021-12-03,-0.116,-0.113,-0.076,-0.124,17.17%
2021-12-02,-0.099,-0.072,-0.056,-0.130,32.00%
2021-12-01,-0.075,-0.084,-0.023,-0.091,-9.64%
2021-11-30,-0.083,-0.069,-0.054,-0.104,72.92%
2021-11-29,-0.048,-0.061,-0.024,-0.079,-40.37%
2021-11-27,-0.080,-0.080,-0.080,-0.080,20.15%
2021-11-26,-0.067,-0.052,-0.026,-0.080,-578.57%
2021-11-25,0.014,0.036,0.053,0.006,-72.00%
2021-11-24,0.050,0.024,0.073,0.014,11.11%
2021-11-23,0.045,-0.027,0.052,-0.034,-236.36%
2021-11-22,-0.033,-0.075,-0.029,-0.105,-66.33%
2021-11-20,-0.098,-0.098,-0.098,-0.098,2.08%
2021-11-19,-0.096,-0.016,-0.015,-0.100,159.46%
2021-11-18,-0.037,-0.026,-0.001,-0.048,428.57%
2021-11-17,-0.007,-0.010,0.015,-0.030,16.67%
2021-11-16,-0.006,-0.010,0.013,-0.027,-250.00%
2021-11-15,0.004,-0.043,0.004,-0.074,-114.29%
2021-11-12,-0.028,0.004,0.014,-0.039,"-1,033.33%"
2021-11-11,0.003,-0.007,0.016,-0.027,-114.29%
2021-11-10,-0.021,-0.054,-0.007,-0.073,-69.57%
2021-11-09,-0.069,-0.027,-0.012,-0.081,213.64%
2021-11-08,-0.022,-0.040,-0.015,-0.059,-63.93%
2021-11-05,-0.061,0.009,0.011,-0.062,"-2,133.33%"
2021-11-04,0.003,0.064,0.081,-0.007,-95.77%
2021-11-03,0.071,0.073,0.091,0.044,-15.48%
2021-11-02,0.084,0.157,0.196,0.066,-47.17%
2021-11-01,0.159,0.157,0.196,0.136,10.03%
2021-10-30,0.145,0.145,0.145,0.145,-6.77%
2021-10-29,0.155,0.128,0.201,0.117,49.04%
2021-10-28,0.104,0.061,0.144,0.057,65.08%
2021-10-27,0.063,0.108,0.119,0.047,-40.00%
2021-10-26,0.105,0.115,0.130,0.089,-6.25%
2021-10-25,0.112,0.128,0.155,0.108,-8.20%
2021-10-23,0.122,0.122,0.122,0.122,-7.58%
2021-10-22,0.132,0.144,0.165,0.123,-0.75%
2021-10-21,0.133,0.109,0.146,0.096,34.34%
2021-10-20,0.099,0.121,0.142,0.091,-22.05%
2021-10-19,0.127,0.078,0.139,0.050,67.11%
2021-10-18,0.076,0.077,0.117,0.059,43.40%
2021-10-15,0.053,0.045,0.085,0.041,82.76%
2021-10-14,0.029,0.109,0.111,0.028,-68.48%
2021-10-13,0.092,0.121,0.134,0.073,-30.83%
