Date (Switzerland),Price,Open,High,Low,Change %
2019-12-05,-0.590,-0.614,-0.590,-0.629,-6.05%
2019-12-04,-0.628,-0.651,-0.628,-0.658,8.28%
2019-12-03,-0.580,-0.578,-0.578,-0.646,-2.52%
2019-12-02,-0.595,-0.525,-0.525,-0.613,-2.78%
2019-11-29,-0.612,-0.627,-0.612,-0.635,-2.39%
2019-11-28,-0.627,-0.638,-0.626,-0.653,0.16%
2019-11-27,-0.626,-0.590,-0.590,-0.635,8.49%
2019-11-26,-0.577,-0.570,-0.568,-0.601,-0.35%
2019-11-25,-0.579,-0.579,-0.568,-0.588,-0.69%
2019-11-22,-0.583,-0.523,-0.519,-0.583,11.05%
2019-11-21,-0.525,-0.541,-0.525,-0.574,-4.72%
2019-11-20,-0.551,-0.551,-0.550,-0.591,2.99%
2019-11-19,-0.535,-0.520,-0.514,-0.542,2.88%
2019-11-18,-0.520,-0.494,-0.489,-0.535,5.05%
2019-11-15,-0.495,-0.502,-0.495,-0.526,-1.98%
2019-11-14,-0.505,-0.479,-0.477,-0.519,6.77%
2019-11-13,-0.473,-0.394,-0.380,-0.478,24.80%
2019-11-12,-0.379,-0.400,-0.379,-0.401,-6.19%
2019-11-11,-0.404,-0.339,-0.339,-0.415,6.32%
2019-11-08,-0.380,-0.404,-0.380,-0.417,-5.94%
2019-11-07,-0.404,-0.461,-0.404,-0.461,-6.05%
2019-11-06,-0.430,-0.383,-0.383,-0.467,-4.66%
2019-11-05,-0.451,-0.424,-0.424,-0.493,-4.04%
2019-11-04,-0.470,-0.512,-0.470,-0.531,-11.99%
2019-11-01,-0.534,-0.557,-0.516,-0.581,-5.15%
2019-10-31,-0.563,-0.524,-0.524,-0.586,11.26%
2019-10-30,-0.506,-0.518,-0.501,-0.543,-3.07%
2019-10-29,-0.522,-0.522,-0.515,-0.548,1.95%
2019-10-28,-0.512,-0.569,-0.508,-0.570,-8.08%
2019-10-25,-0.557,-0.603,-0.557,-0.603,-6.86%
2019-10-24,-0.598,-0.608,-0.580,-0.621,-1.48%
2019-10-23,-0.607,-0.515,-0.515,-0.627,20.20%
2019-10-22,-0.505,-0.552,-0.505,-0.587,-4.90%
2019-10-21,-0.531,-0.581,-0.531,-0.584,-7.65%
2019-10-18,-0.575,-0.599,-0.575,-0.620,-0.52%
2019-10-17,-0.578,-0.590,-0.557,-0.610,-2.86%
2019-10-16,-0.595,-0.531,-0.531,-0.643,-2.14%
2019-10-15,-0.608,-0.675,-0.598,-0.675,-6.89%
2019-10-14,-0.653,-0.660,-0.653,-0.687,-0.46%
2019-10-11,-0.656,-0.614,-0.614,-0.710,-4.79%
2019-10-10,-0.689,-0.746,-0.684,-0.746,1.62%
2019-10-09,-0.678,-0.773,-0.678,-0.773,-12.40%
2019-10-08,-0.774,-0.767,-0.749,-0.781,0.00%
2019-10-07,-0.774,-0.786,-0.769,-0.801,-1.28%
2019-10-04,-0.784,-0.781,-0.780,-0.794,1.82%
2019-10-03,-0.770,-0.742,-0.675,-0.789,6.65%
2019-10-02,-0.722,-0.713,-0.713,-0.736,-2.04%
2019-10-01,-0.737,-0.750,-0.691,-0.750,-2.12%
2019-09-30,-0.753,-0.703,-0.703,-0.769,-2.08%
2019-09-27,-0.769,-0.791,-0.769,-0.813,-1.54%
2019-09-26,-0.781,-0.724,-0.724,-0.817,-3.82%
2019-09-25,-0.812,-0.756,-0.756,-0.853,-2.75%
2019-09-24,-0.835,-0.817,-0.805,-0.837,1.21%
2019-09-23,-0.825,-0.758,-0.758,-0.843,7.70%
2019-09-20,-0.766,-0.740,-0.740,-0.769,2.82%
2019-09-19,-0.745,-0.764,-0.697,-0.764,-0.13%
2019-09-18,-0.746,-0.664,-0.664,-0.805,4.04%
2019-09-17,-0.717,-0.628,-0.628,-0.747,3.17%
2019-09-16,-0.695,-0.572,-0.572,-0.703,6.92%
2019-09-13,-0.650,-0.660,-0.645,-0.699,-12.52%
2019-09-12,-0.743,-0.774,-0.714,-0.830,-5.35%
2019-09-11,-0.785,-0.811,-0.751,-0.827,-5.31%
2019-09-10,-0.829,-0.847,-0.829,-0.868,-3.83%
2019-09-09,-0.862,-0.902,-0.860,-0.921,-6.20%
2019-09-06,-0.919,-0.889,-0.871,-0.919,6.37%
2019-09-05,-0.864,-0.929,-0.864,-0.963,-11.02%
2019-09-04,-0.971,-0.975,-0.943,-0.982,-3.67%
2019-09-03,-1.008,-0.996,-0.985,-1.052,1.92%
2019-09-02,-0.989,-0.959,-0.959,-1.010,-1.88%
2019-08-30,-1.008,-0.957,-0.957,-1.024,-0.10%
2019-08-29,-1.009,-1.030,-0.983,-1.037,0.00%
2019-08-28,-1.009,-0.998,-0.998,-1.061,1.20%
2019-08-27,-0.997,-0.962,-0.951,-0.997,4.62%
2019-08-26,-0.953,-0.935,-0.933,-0.966,1.93%
2019-08-23,-0.935,-0.894,-0.877,-0.940,3.20%
2019-08-22,-0.906,-0.965,-0.903,-0.981,-0.55%
2019-08-21,-0.911,-1.038,-0.911,-1.038,-11.72%
2019-08-20,-1.032,-1.023,-1.023,-1.067,2.89%
2019-08-19,-1.003,-1.092,-1.003,-1.101,-7.73%
2019-08-16,-1.087,-1.099,-1.079,-1.132,-1.81%
2019-08-15,-1.107,-1.036,-1.032,-1.124,8.21%
2019-08-14,-1.023,-0.936,-0.936,-1.033,9.76%
2019-08-13,-0.932,-0.933,-0.913,-0.972,-0.75%
2019-08-12,-0.939,-0.920,-0.920,-0.941,1.95%
2019-08-09,-0.921,-0.937,-0.916,-0.942,5.02%
2019-08-08,-0.877,-0.925,-0.877,-0.964,-0.11%
2019-08-07,-0.878,-0.889,-0.878,-0.966,-0.45%
