Date (Switzerland),Price,Open,High,Low,Change %
2022-06-01,0.936,0.899,0.936,0.887,3.20%
2022-05-31,0.907,0.846,0.907,0.805,10.07%
2022-05-30,0.824,0.797,0.827,0.779,9.57%
2022-05-27,0.752,0.792,0.795,0.723,4.01%
2022-05-25,0.723,0.745,0.748,0.688,3.14%
2022-05-24,0.701,0.728,0.746,0.698,-1.68%
2022-05-23,0.713,0.724,0.724,0.673,-0.83%
2022-05-20,0.719,0.730,0.756,0.690,2.57%
2022-05-19,0.701,0.780,0.780,0.671,-2.09%
2022-05-18,0.716,0.811,0.821,0.713,-11.28%
2022-05-17,0.807,0.785,0.813,0.764,6.18%
2022-05-16,0.760,0.747,0.798,0.728,-1.94%
2022-05-13,0.775,0.748,0.775,0.685,5.01%
2022-05-12,0.738,0.770,0.780,0.692,-18.00%
2022-05-11,0.900,0.951,0.973,0.864,-3.02%
2022-05-10,0.928,1.003,1.016,0.912,-6.55%
2022-05-09,0.993,0.966,1.038,0.966,-2.46%
2022-05-06,1.018,0.915,1.018,0.885,11.26%
2022-05-05,0.915,0.874,0.915,0.790,6.40%
2022-05-04,0.860,0.914,0.914,0.846,1.30%
2022-05-03,0.849,0.915,0.915,0.824,-4.82%
2022-05-02,0.892,0.835,0.910,0.835,6.83%
2022-04-29,0.835,0.853,0.884,0.823,-2.34%
2022-04-28,0.855,0.795,0.856,0.747,8.37%
2022-04-27,0.789,0.777,0.817,0.771,0.00%
2022-04-26,0.789,0.856,0.856,0.775,-5.28%
2022-04-25,0.833,0.904,0.904,0.833,-9.95%
2022-04-22,0.925,0.922,0.936,0.894,1.87%
2022-04-21,0.908,0.889,0.915,0.859,4.37%
2022-04-20,0.870,0.937,0.951,0.848,-8.71%
2022-04-19,0.953,0.887,0.963,0.867,11.85%
2022-04-14,0.852,0.824,0.859,0.763,5.45%
2022-04-13,0.808,0.913,0.937,0.779,-6.05%
2022-04-12,0.860,0.823,0.885,0.818,6.83%
2022-04-11,0.805,0.751,0.805,0.710,8.05%
2022-04-08,0.745,0.681,0.745,0.671,5.52%
2022-04-07,0.706,0.653,0.706,0.636,4.44%
2022-04-06,0.676,0.622,0.676,0.622,8.68%
2022-04-05,0.622,0.515,0.622,0.515,15.61%
2022-04-04,0.538,0.611,0.614,0.509,-12.52%
2022-04-01,0.615,0.634,0.651,0.599,3.71%
2022-03-31,0.593,0.705,0.705,0.580,-14.55%
2022-03-30,0.694,0.649,0.749,0.649,4.05%
2022-03-29,0.667,0.644,0.760,0.639,10.61%
2022-03-28,0.603,0.598,0.603,0.570,6.91%
2022-03-25,0.564,0.510,0.564,0.484,9.30%
2022-03-24,0.516,0.474,0.535,0.447,6.39%
2022-03-23,0.485,0.505,0.505,0.451,-0.61%
2022-03-22,0.488,0.475,0.521,0.473,10.41%
2022-03-21,0.442,0.414,0.447,0.388,12.76%
2022-03-18,0.392,0.401,0.403,0.362,-3.92%
2022-03-17,0.408,0.450,0.450,0.384,-6.64%
2022-03-16,0.437,0.438,0.458,0.410,14.10%
2022-03-15,0.383,0.375,0.409,0.368,-11.34%
2022-03-14,0.432,0.353,0.432,0.353,18.03%
2022-03-11,0.366,0.338,0.392,0.337,1.95%
2022-03-10,0.359,0.282,0.361,0.246,31.02%
2022-03-09,0.274,0.226,0.302,0.223,18.61%
2022-03-08,0.231,0.159,0.263,0.159,31.25%
2022-03-07,0.176,0.180,0.188,0.149,-3.30%
2022-03-04,0.182,0.183,0.205,0.165,-4.21%
2022-03-03,0.190,0.143,0.210,0.143,12.43%
2022-03-02,0.169,0.082,0.174,0.070,111.25%
2022-03-01,0.080,0.245,0.245,0.080,-69.58%
2022-02-28,0.263,0.318,0.318,0.258,-17.55%
2022-02-25,0.319,0.268,0.322,0.243,22.69%
2022-02-24,0.260,0.226,0.260,0.220,-8.13%
2022-02-23,0.283,0.264,0.297,0.255,5.99%
2022-02-22,0.267,0.202,0.270,0.193,8.10%
2022-02-21,0.247,0.258,0.272,0.220,-11.15%
2022-02-18,0.278,0.277,0.278,0.237,2.58%
2022-02-17,0.271,0.278,0.294,0.252,-13.42%
2022-02-16,0.313,0.347,0.347,0.265,-10.06%
2022-02-15,0.348,0.306,0.351,0.294,14.47%
2022-02-14,0.304,0.299,0.304,0.217,-9.52%
2022-02-11,0.336,0.293,0.336,0.248,19.15%
2022-02-10,0.282,0.254,0.282,0.241,13.25%
2022-02-09,0.249,0.308,0.308,0.245,-25.00%
2022-02-08,0.332,0.305,0.334,0.280,22.96%
2022-02-07,0.270,0.220,0.290,0.219,2.66%
2022-02-04,0.263,0.201,0.264,0.175,51.15%
2022-02-03,0.174,0.085,0.215,0.073,112.20%
2022-02-02,0.082,0.069,0.098,0.059,10.81%
2022-02-01,0.074,0.039,0.079,0.037,15.62%
2022-01-31,0.064,0.014,0.069,0.013,433.33%
2022-01-28,0.012,-0.003,0.021,-0.004,-180.00%
2022-01-27,-0.015,0.005,0.011,-0.017,-16.67%
2022-01-26,-0.018,-0.022,-0.014,-0.030,-45.45%
2022-01-25,-0.033,-0.040,-0.020,-0.048,-23.26%
2022-01-24,-0.043,-0.027,-0.024,-0.052,186.67%
2022-01-21,-0.015,-0.023,-0.015,-0.040,7.14%
2022-01-20,-0.014,0.025,0.025,-0.015,-200.00%
2022-01-19,0.014,0.030,0.038,0.008,180.00%
2022-01-18,0.005,0.011,0.028,0.002,-350.00%
2022-01-17,-0.002,-0.003,0.003,-0.015,-50.00%
2022-01-14,-0.004,-0.043,-0.004,-0.066,-92.16%
2022-01-13,-0.051,-0.016,-0.012,-0.054,75.86%
2022-01-12,-0.029,0.036,0.043,-0.029,-174.36%
2022-01-11,0.039,0.034,0.045,0.014,21.87%
2022-01-10,0.032,0.005,0.044,0.005,540.00%
2022-01-07,0.005,-0.030,0.005,-0.030,-126.32%
2022-01-06,-0.019,-0.049,-0.019,-0.066,-64.81%
2022-01-05,-0.054,-0.081,-0.046,-0.081,-38.64%
2022-01-04,-0.088,-0.099,-0.085,-0.111,-14.56%
2022-01-03,-0.103,-0.132,-0.103,-0.141,-23.70%
2021-12-30,-0.135,-0.141,-0.133,-0.155,-9.40%
2021-12-29,-0.149,-0.199,-0.149,-0.199,-19.46%
2021-12-28,-0.185,-0.199,-0.185,-0.213,-10.63%
2021-12-27,-0.207,-0.207,-0.207,-0.207,16.95%
2021-12-23,-0.177,-0.203,-0.177,-0.226,-12.38%
2021-12-22,-0.202,-0.225,-0.195,-0.251,-13.30%
2021-12-21,-0.233,-0.300,-0.233,-0.307,-22.59%
2021-12-20,-0.301,-0.289,-0.289,-0.323,4.51%
2021-12-17,-0.288,-0.269,-0.269,-0.310,7.46%
2021-12-16,-0.268,-0.283,-0.254,-0.293,-7.90%
2021-12-15,-0.291,-0.309,-0.288,-0.309,-4.90%
2021-12-14,-0.306,-0.326,-0.297,-0.326,-1.92%
2021-12-13,-0.312,-0.312,-0.311,-0.332,-1.27%
2021-12-10,-0.316,-0.295,-0.293,-0.318,1.94%
2021-12-09,-0.310,-0.283,-0.283,-0.313,11.51%
2021-12-08,-0.278,-0.294,-0.275,-0.344,-7.33%
2021-12-07,-0.300,-0.264,-0.257,-0.308,-0.99%
2021-12-06,-0.303,-0.292,-0.283,-0.307,7.07%
2021-12-03,-0.283,-0.283,-0.268,-0.287,1.80%
2021-12-02,-0.278,-0.239,-0.200,-0.284,12.10%
2021-12-01,-0.248,-0.239,-0.200,-0.248,4.64%
2021-11-30,-0.237,-0.218,-0.218,-0.256,20.30%
2021-11-29,-0.197,-0.233,-0.194,-0.237,-11.66%
2021-11-26,-0.223,-0.199,-0.190,-0.237,51.70%
2021-11-25,-0.147,-0.137,-0.137,-0.163,13.95%
2021-11-24,-0.129,-0.147,-0.127,-0.155,-16.77%
2021-11-23,-0.155,-0.168,-0.155,-0.179,-21.32%
2021-11-22,-0.197,-0.174,-0.174,-0.208,3.14%
2021-11-19,-0.191,-0.135,-0.133,-0.194,34.51%
2021-11-18,-0.142,-0.139,-0.139,-0.152,19.33%
2021-11-17,-0.119,-0.112,-0.104,-0.120,-0.83%
2021-11-16,-0.120,-0.109,-0.097,-0.130,14.29%
2021-11-15,-0.105,-0.159,-0.105,-0.170,-26.06%
2021-11-12,-0.142,-0.116,-0.111,-0.150,40.59%
2021-11-11,-0.101,-0.158,-0.101,-0.158,-45.41%
2021-11-10,-0.185,-0.212,-0.183,-0.216,-18.14%
2021-11-09,-0.226,-0.194,-0.184,-0.229,15.90%
2021-11-08,-0.195,-0.193,-0.185,-0.203,-1.02%
2021-11-05,-0.197,-0.152,-0.143,-0.205,33.11%
2021-11-04,-0.148,-0.108,-0.106,-0.169,39.62%
2021-11-03,-0.106,-0.103,-0.102,-0.138,-3.64%
2021-11-02,-0.110,-0.044,-0.039,-0.110,"-1,671.43%"
2021-11-01,0.007,-0.050,0.011,-0.050,-216.67%
2021-10-29,-0.006,-0.048,0.013,-0.071,-93.33%
2021-10-28,-0.090,-0.138,-0.072,-0.139,-38.36%
2021-10-27,-0.146,-0.098,-0.091,-0.148,58.70%
2021-10-26,-0.092,-0.068,-0.063,-0.102,27.78%
2021-10-25,-0.072,-0.052,-0.044,-0.072,30.91%
2021-10-22,-0.055,-0.055,-0.041,-0.065,-19.12%
2021-10-21,-0.068,-0.086,-0.066,-0.088,-20.00%
2021-10-20,-0.085,-0.069,-0.064,-0.091,10.39%
2021-10-19,-0.077,-0.094,-0.063,-0.112,-18.09%
2021-10-18,-0.094,-0.107,-0.072,-0.108,-3.09%
2021-10-15,-0.097,-0.153,-0.097,-0.153,-39.37%
2021-10-14,-0.160,-0.106,-0.101,-0.161,45.45%
2021-10-13,-0.110,-0.041,-0.040,-0.111,175.00%
2021-10-12,-0.040,-0.041,-0.040,-0.075,-25.93%
2021-10-11,-0.054,-0.078,-0.051,-0.078,-41.30%
2021-10-08,-0.092,-0.113,-0.092,-0.123,-33.33%
2021-10-07,-0.138,-0.128,-0.128,-0.148,1.47%
2021-10-06,-0.136,-0.105,-0.101,-0.146,7.09%
2021-10-05,-0.127,-0.177,-0.127,-0.187,-21.60%
2021-10-04,-0.162,-0.196,-0.162,-0.196,-9.50%
2021-10-01,-0.179,-0.195,-0.177,-0.200,5.29%
2021-09-30,-0.170,-0.176,-0.151,-0.192,-10.05%
2021-09-29,-0.189,-0.134,-0.134,-0.193,35.00%
2021-09-28,-0.140,-0.138,-0.127,-0.150,1.45%
2021-09-27,-0.138,-0.163,-0.129,-0.171,-15.34%
2021-09-24,-0.163,-0.191,-0.163,-0.191,-16.41%
2021-09-23,-0.195,-0.242,-0.195,-0.247,-20.08%
2021-09-22,-0.244,-0.216,-0.216,-0.277,-1.21%
2021-09-21,-0.247,-0.244,-0.227,-0.258,9.29%
2021-09-20,-0.226,-0.220,-0.220,-0.258,4.63%
2021-09-17,-0.216,-0.246,-0.213,-0.246,-2.26%
2021-09-16,-0.221,-0.250,-0.216,-0.250,-15.00%
2021-09-15,-0.260,-0.276,-0.260,-0.293,-0.76%
2021-09-14,-0.262,-0.273,-0.247,-0.282,-4.03%
2021-09-13,-0.273,-0.273,-0.268,-0.280,-0.73%
2021-09-10,-0.275,-0.306,-0.275,-0.306,-6.14%
2021-09-09,-0.293,-0.271,-0.269,-0.308,10.98%
2021-09-08,-0.264,-0.235,-0.235,-0.264,7.32%
2021-09-07,-0.246,-0.296,-0.246,-0.312,-21.41%
2021-09-06,-0.313,-0.317,-0.313,-0.329,-3.40%
2021-09-03,-0.324,-0.336,-0.314,-0.345,-1.82%
2021-09-02,-0.330,-0.313,-0.313,-0.340,5.43%
2021-09-01,-0.313,-0.336,-0.313,-0.336,-6.57%
2021-08-31,-0.335,-0.330,-0.330,-0.354,1.52%
2021-08-30,-0.330,-0.333,-0.330,-0.349,-2.37%
2021-08-27,-0.338,-0.338,-0.333,-0.348,-2.59%
2021-08-26,-0.347,-0.323,-0.323,-0.347,2.97%
2021-08-25,-0.337,-0.377,-0.337,-0.388,-11.08%
2021-08-24,-0.379,-0.373,-0.373,-0.396,1.07%
2021-08-23,-0.375,-0.369,-0.369,-0.393,-5.30%
2021-08-20,-0.396,-0.376,-0.376,-0.396,4.76%
2021-08-19,-0.378,-0.377,-0.377,-0.398,-1.56%
2021-08-18,-0.384,-0.374,-0.367,-0.392,2.40%
2021-08-17,-0.375,-0.393,-0.373,-0.404,-2.60%
2021-08-16,-0.385,-0.392,-0.375,-0.416,1.05%
2021-08-13,-0.381,-0.374,-0.362,-0.407,0.79%
2021-08-12,-0.378,-0.375,-0.375,-0.398,1.61%
2021-08-11,-0.372,-0.378,-0.372,-0.395,-2.87%
2021-08-10,-0.383,-0.390,-0.383,-0.405,1.86%
2021-08-09,-0.376,-0.400,-0.376,-0.404,-3.09%
2021-08-06,-0.388,-0.419,-0.378,-0.419,-7.62%
2021-08-05,-0.420,-0.414,-0.414,-0.439,0.72%
2021-08-04,-0.417,-0.398,-0.397,-0.436,4.25%
2021-08-03,-0.400,-0.395,-0.388,-0.416,2.30%
2021-08-02,-0.391,-0.371,-0.370,-0.393,4.55%
2021-07-30,-0.374,-0.366,-0.366,-0.380,3.60%
2021-07-29,-0.361,-0.333,-0.333,-0.368,0.84%
2021-07-28,-0.358,-0.370,-0.358,-0.377,-2.19%
2021-07-27,-0.366,-0.363,-0.363,-0.386,3.10%
2021-07-26,-0.355,-0.380,-0.355,-0.396,-2.20%
2021-07-23,-0.363,-0.363,-0.363,-0.376,-1.89%
2021-07-22,-0.370,-0.351,-0.347,-0.375,7.87%
2021-07-21,-0.343,-0.387,-0.343,-0.391,-9.02%
2021-07-20,-0.377,-0.341,-0.341,-0.398,3.01%
2021-07-19,-0.366,-0.335,-0.331,-0.371,16.93%
2021-07-16,-0.313,-0.307,-0.307,-0.323,3.64%
2021-07-15,-0.302,-0.313,-0.302,-0.325,13.96%
2021-07-14,-0.265,-0.220,-0.220,-0.305,1.92%
2021-07-13,-0.260,-0.261,-0.258,-0.278,-6.81%
2021-07-12,-0.279,-0.288,-0.270,-0.301,-3.46%
2021-07-09,-0.289,-0.286,-0.284,-0.303,-1.03%
2021-07-08,-0.292,-0.284,-0.284,-0.324,-2.67%
2021-07-07,-0.300,-0.264,-0.264,-0.311,10.70%
2021-07-06,-0.271,-0.210,-0.210,-0.271,38.97%
2021-07-05,-0.195,-0.242,-0.195,-0.248,-19.75%
2021-07-02,-0.243,-0.225,-0.222,-0.253,28.57%
2021-07-01,-0.189,-0.236,-0.189,-0.236,-20.92%
2021-06-30,-0.239,-0.182,-0.181,-0.253,26.46%
2021-06-29,-0.189,-0.199,-0.176,-0.214,-2.58%
2021-06-28,-0.194,-0.171,-0.171,-0.213,16.17%
2021-06-25,-0.167,-0.172,-0.167,-0.220,-24.77%
2021-06-24,-0.222,-0.174,-0.169,-0.223,26.14%
2021-06-23,-0.176,-0.162,-0.159,-0.208,7.98%
2021-06-22,-0.163,-0.183,-0.163,-0.205,-20.87%
2021-06-21,-0.206,-0.212,-0.206,-0.236,-4.19%
2021-06-18,-0.215,-0.200,-0.200,-0.232,6.44%
2021-06-17,-0.202,-0.162,-0.162,-0.209,-0.98%
2021-06-16,-0.204,-0.208,-0.204,-0.226,-1.92%
2021-06-15,-0.208,-0.224,-0.208,-0.244,-7.96%
2021-06-14,-0.226,-0.224,-0.224,-0.248,1.80%
2021-06-11,-0.222,-0.185,-0.185,-0.275,45.10%
2021-06-10,-0.153,-0.205,-0.153,-0.210,-8.93%
2021-06-09,-0.168,-0.140,-0.140,-0.217,15.86%
2021-06-08,-0.145,-0.133,-0.131,-0.180,14.17%
2021-06-07,-0.127,-0.137,-0.127,-0.168,-0.78%
2021-06-04,-0.128,-0.091,-0.089,-0.164,34.74%
2021-06-03,-0.095,-0.151,-0.090,-0.152,-27.48%
2021-06-02,-0.131,-0.110,-0.110,-0.171,11.97%
2021-06-01,-0.117,-0.157,-0.117,-0.168,-25.00%
2021-05-31,-0.156,-0.120,-0.120,-0.167,18.18%
2021-05-28,-0.132,-0.139,-0.132,-0.178,-14.29%
2021-05-27,-0.154,-0.188,-0.154,-0.213,-19.79%
2021-05-26,-0.192,-0.183,-0.183,-0.216,9.71%
2021-05-25,-0.175,-0.170,-0.168,-0.188,34.62%
2021-05-21,-0.130,-0.130,-0.130,-0.170,-0.76%
2021-05-20,-0.131,-0.110,-0.110,-0.137,21.30%
2021-05-19,-0.108,-0.079,-0.074,-0.141,30.12%
2021-05-18,-0.083,-0.121,-0.083,-0.137,-2.35%
2021-05-17,-0.085,-0.150,-0.083,-0.150,-34.62%
2021-05-14,-0.130,-0.130,-0.130,-0.142,9.24%
2021-05-12,-0.119,-0.142,-0.119,-0.161,-12.50%
2021-05-11,-0.136,-0.160,-0.136,-0.184,-32.00%
2021-05-10,-0.200,-0.183,-0.178,-0.213,-4.76%
2021-05-07,-0.210,-0.202,-0.188,-0.231,-0.94%
2021-05-06,-0.212,-0.205,-0.202,-0.226,2.42%
2021-05-05,-0.207,-0.199,-0.195,-0.242,-2.36%
2021-05-04,-0.212,-0.193,-0.182,-0.233,3.41%
2021-05-03,-0.205,-0.198,-0.188,-0.227,4.59%
2021-04-30,-0.196,-0.191,-0.191,-0.219,3.16%
2021-04-29,-0.190,-0.231,-0.190,-0.235,-16.67%
2021-04-28,-0.228,-0.221,-0.221,-0.242,-8.06%
2021-04-27,-0.248,-0.236,-0.236,-0.262,-0.40%
2021-04-26,-0.249,-0.187,-0.187,-0.261,-3.86%
2021-04-23,-0.259,-0.252,-0.248,-0.272,4.02%
2021-04-22,-0.249,-0.261,-0.249,-0.273,1.22%
2021-04-21,-0.246,-0.236,-0.235,-0.264,33.70%
2021-04-20,-0.184,-0.203,-0.184,-0.234,-19.65%
2021-04-19,-0.229,-0.241,-0.218,-0.241,1.78%
2021-04-16,-0.225,-0.226,-0.225,-0.251,-7.79%
2021-04-15,-0.244,-0.225,-0.225,-0.256,12.44%
2021-04-14,-0.217,-0.254,-0.217,-0.259,-8.05%
2021-04-13,-0.236,-0.247,-0.235,-0.255,-5.22%
2021-04-12,-0.249,-0.267,-0.249,-0.280,-4.96%
2021-04-09,-0.262,-0.285,-0.248,-0.289,-8.07%
2021-04-08,-0.285,-0.272,-0.272,-0.314,0.35%
2021-04-07,-0.284,-0.291,-0.284,-0.309,-1.39%
2021-04-06,-0.288,-0.300,-0.277,-0.310,-5.57%
2021-04-01,-0.305,-0.267,-0.266,-0.307,7.77%
2021-03-31,-0.283,-0.253,-0.253,-0.283,7.60%
2021-03-30,-0.263,-0.262,-0.253,-0.274,-1.87%
2021-03-29,-0.268,-0.316,-0.268,-0.329,-12.42%
2021-03-26,-0.306,-0.331,-0.306,-0.344,-7.27%
2021-03-25,-0.330,-0.322,-0.319,-0.353,5.10%
2021-03-24,-0.314,-0.306,-0.304,-0.328,4.32%
2021-03-23,-0.301,-0.276,-0.276,-0.309,43.33%
2021-03-22,-0.210,-0.278,-0.210,-0.285,-16.00%
2021-03-19,-0.250,-0.246,-0.229,-0.253,13.12%
2021-03-18,-0.221,-0.230,-0.211,-0.230,6.76%
2021-03-17,-0.207,-0.264,-0.207,-0.287,-24.18%
2021-03-16,-0.273,-0.271,-0.253,-0.289,6.23%
2021-03-15,-0.257,-0.254,-0.242,-0.273,5.33%
2021-03-12,-0.244,-0.273,-0.244,-0.285,-21.04%
2021-03-11,-0.309,-0.274,-0.274,-0.332,52.22%
2021-03-10,-0.203,-0.243,-0.203,-0.273,-16.80%
2021-03-09,-0.244,-0.243,-0.243,-0.285,20.79%
2021-03-08,-0.202,-0.202,-0.202,-0.255,0.50%
2021-03-05,-0.201,-0.237,-0.201,-0.270,-24.15%
2021-03-04,-0.265,-0.247,-0.247,-0.289,3.11%
2021-03-03,-0.257,-0.290,-0.251,-0.295,2.39%
2021-03-02,-0.251,-0.256,-0.247,-0.284,26.77%
2021-03-01,-0.198,-0.238,-0.198,-0.278,0.51%
2021-02-26,-0.197,-0.133,-0.133,-0.239,26.28%
2021-02-25,-0.156,-0.230,-0.156,-0.234,-32.76%
2021-02-24,-0.232,-0.264,-0.226,-0.270,-9.73%
2021-02-23,-0.257,-0.260,-0.236,-0.260,-4.46%
2021-02-22,-0.269,-0.214,-0.214,-0.278,13.98%
2021-02-19,-0.236,-0.238,-0.236,-0.261,-9.23%
2021-02-18,-0.260,-0.277,-0.259,-0.285,-6.81%
2021-02-17,-0.279,-0.224,-0.224,-0.285,22.37%
2021-02-16,-0.228,-0.286,-0.228,-0.297,-20.00%
2021-02-15,-0.285,-0.308,-0.282,-0.308,-13.90%
2021-02-12,-0.331,-0.365,-0.330,-0.370,-7.80%
2021-02-11,-0.359,-0.347,-0.345,-0.361,6.85%
2021-02-10,-0.336,-0.337,-0.322,-0.341,-0.88%
2021-02-09,-0.339,-0.346,-0.333,-0.354,-5.04%
2021-02-08,-0.357,-0.314,-0.314,-0.363,0.85%
2021-02-05,-0.354,-0.376,-0.349,-0.400,-8.76%
2021-02-04,-0.388,-0.404,-0.386,-0.411,-6.05%
2021-02-03,-0.413,-0.410,-0.406,-0.423,-0.96%
2021-02-02,-0.417,-0.442,-0.417,-0.442,-4.14%
2021-02-01,-0.435,-0.451,-0.433,-0.451,-1.81%
2021-01-29,-0.443,-0.452,-0.429,-0.467,-4.53%
2021-01-28,-0.464,-0.468,-0.456,-0.483,-0.85%
2021-01-27,-0.468,-0.412,-0.412,-0.491,2.63%
2021-01-26,-0.456,-0.468,-0.456,-0.478,-2.56%
2021-01-25,-0.468,-0.442,-0.440,-0.476,6.36%
2021-01-22,-0.440,-0.432,-0.432,-0.456,2.09%
2021-01-21,-0.431,-0.463,-0.429,-0.465,-6.91%
2021-01-20,-0.463,-0.460,-0.458,-0.468,11.03%
2021-01-19,-0.417,-0.458,-0.417,-0.463,-10.32%
2021-01-18,-0.465,-0.470,-0.462,-0.481,-1.06%
2021-01-15,-0.470,-0.479,-0.467,-0.487,-1.26%
2021-01-14,-0.476,-0.467,-0.464,-0.491,2.59%
2021-01-13,-0.464,-0.442,-0.426,-0.471,9.69%
2021-01-12,-0.423,-0.456,-0.419,-0.456,-0.94%
2021-01-11,-0.427,-0.478,-0.425,-0.509,-8.37%
2021-01-08,-0.466,-0.468,-0.466,-0.506,-4.70%
2021-01-07,-0.489,-0.492,-0.489,-0.513,1.24%
2021-01-06,-0.483,-0.490,-0.483,-0.515,-8.17%
2021-01-05,-0.526,-0.525,-0.523,-0.536,0.96%
2021-01-04,-0.521,-0.486,-0.485,-0.532,7.20%
2020-12-30,-0.486,-0.456,-0.456,-0.498,0.62%
2020-12-29,-0.483,-0.483,-0.483,-0.486,5.23%
2020-12-28,-0.459,-0.459,-0.459,-0.469,-1.92%
2020-12-23,-0.468,-0.499,-0.452,-0.499,-4.10%
2020-12-22,-0.488,-0.495,-0.484,-0.500,1.46%
2020-12-21,-0.481,-0.510,-0.481,-0.524,-3.02%
2020-12-18,-0.496,-0.508,-0.485,-0.508,-2.94%
2020-12-17,-0.511,-0.491,-0.481,-0.521,6.46%
2020-12-16,-0.480,-0.515,-0.480,-0.515,-6.98%
2020-12-15,-0.516,-0.520,-0.513,-0.523,4.24%
2020-12-14,-0.495,-0.523,-0.495,-0.530,-2.56%
2020-12-11,-0.508,-0.511,-0.508,-0.533,2.63%
2020-12-10,-0.495,-0.478,-0.478,-0.508,1.85%
2020-12-09,-0.486,-0.436,-0.436,-0.515,2.53%
2020-12-08,-0.474,-0.437,-0.437,-0.487,-0.21%
2020-12-07,-0.475,-0.458,-0.458,-0.487,7.47%
2020-12-04,-0.442,-0.489,-0.442,-0.499,-8.49%
2020-12-03,-0.483,-0.492,-0.481,-0.492,2.99%
2020-12-02,-0.469,-0.443,-0.443,-0.469,1.30%
2020-12-01,-0.463,-0.471,-0.459,-0.471,2.43%
2020-11-30,-0.452,-0.449,-0.449,-0.478,1.12%
2020-11-27,-0.447,-0.436,-0.436,-0.470,-1.11%
2020-11-26,-0.452,-0.436,-0.436,-0.460,0.44%
2020-11-25,-0.450,-0.407,-0.407,-0.458,2.51%
2020-11-24,-0.439,-0.437,-0.437,-0.447,-2.23%
2020-11-23,-0.449,-0.417,-0.417,-0.451,0.45%
2020-11-20,-0.447,-0.429,-0.429,-0.454,2.76%
2020-11-19,-0.435,-0.411,-0.411,-0.449,-7.84%
2020-11-18,-0.472,-0.472,-0.465,-0.484,-0.42%
2020-11-17,-0.474,-0.460,-0.460,-0.479,-1.04%
2020-11-16,-0.479,-0.484,-0.458,-0.502,-1.03%
2020-11-13,-0.484,-0.478,-0.478,-0.507,1.68%
2020-11-12,-0.476,-0.454,-0.440,-0.477,9.93%
2020-11-11,-0.433,-0.399,-0.399,-0.449,4.59%
2020-11-10,-0.414,-0.419,-0.402,-0.441,-6.55%
2020-11-09,-0.443,-0.492,-0.441,-0.537,-13.65%
2020-11-06,-0.513,-0.520,-0.512,-0.534,-1.16%
2020-11-05,-0.519,-0.495,-0.493,-0.530,1.37%
2020-11-04,-0.512,-0.511,-0.502,-0.544,0.79%
2020-11-03,-0.508,-0.499,-0.499,-0.537,1.20%
2020-11-02,-0.502,-0.548,-0.502,-0.553,-7.55%
2020-10-30,-0.543,-0.553,-0.532,-0.554,-1.81%
2020-10-29,-0.553,-0.521,-0.521,-0.563,1.65%
2020-10-28,-0.544,-0.530,-0.530,-0.582,3.62%
2020-10-27,-0.525,-0.502,-0.500,-0.533,4.58%
2020-10-26,-0.502,-0.508,-0.496,-0.539,-0.99%
2020-10-23,-0.507,-0.513,-0.502,-0.526,-1.74%
2020-10-22,-0.516,-0.517,-0.516,-0.533,-1.15%
2020-10-21,-0.522,-0.518,-0.515,-0.538,-1.32%
2020-10-20,-0.529,-0.544,-0.529,-0.549,-1.86%
2020-10-19,-0.539,-0.519,-0.519,-0.554,4.05%
2020-10-16,-0.518,-0.558,-0.518,-0.561,-6.50%
2020-10-15,-0.554,-0.530,-0.530,-0.568,13.99%
2020-10-14,-0.486,-0.461,-0.461,-0.533,3.40%
2020-10-13,-0.470,-0.487,-0.470,-0.517,-3.29%
2020-10-12,-0.486,-0.483,-0.483,-0.507,1.67%
2020-10-09,-0.478,-0.503,-0.478,-0.522,-1.85%
2020-10-08,-0.487,-0.504,-0.487,-0.514,2.10%
2020-10-07,-0.477,-0.509,-0.477,-0.511,-3.64%
2020-10-06,-0.495,-0.490,-0.486,-0.499,0.41%
2020-10-05,-0.493,-0.506,-0.491,-0.512,-0.80%
2020-10-02,-0.497,-0.513,-0.497,-0.523,-1.19%
2020-10-01,-0.503,-0.500,-0.500,-0.506,3.07%
2020-09-30,-0.488,-0.520,-0.485,-0.520,-4.31%
2020-09-29,-0.510,-0.503,-0.500,-0.515,2.41%
2020-09-28,-0.498,-0.463,-0.463,-0.505,-0.40%
2020-09-25,-0.500,-0.488,-0.478,-0.511,11.36%
2020-09-24,-0.449,-0.493,-0.449,-0.503,-8.74%
2020-09-23,-0.492,-0.467,-0.467,-0.492,2.07%
2020-09-22,-0.482,-0.504,-0.475,-0.511,-4.74%
2020-09-21,-0.506,-0.456,-0.456,-0.515,5.64%
2020-09-18,-0.479,-0.446,-0.446,-0.496,-0.83%
2020-09-17,-0.483,-0.457,-0.457,-0.493,3.87%
2020-09-16,-0.465,-0.466,-0.463,-0.488,1.31%
2020-09-15,-0.459,-0.466,-0.459,-0.475,-2.75%
2020-09-14,-0.472,-0.439,-0.439,-0.480,5.12%
2020-09-11,-0.449,-0.427,-0.423,-0.463,6.15%
2020-09-10,-0.423,-0.431,-0.408,-0.472,-3.64%
2020-09-09,-0.439,-0.462,-0.435,-0.482,-4.57%
2020-09-08,-0.460,-0.448,-0.443,-0.484,2.00%
2020-09-07,-0.451,-0.427,-0.427,-0.467,-3.43%
2020-09-04,-0.467,-0.469,-0.461,-0.481,-4.30%
