Date (Germany),Price,Open,High,Low,Change %
2021-03-05,-0.3040,-0.3120,-0.2730,-0.3130,-2.25%
2021-03-04,-0.3110,-0.2930,-0.2860,-0.3300,4.71%
2021-03-03,-0.2970,-0.3550,-0.2800,-0.3610,-14.66%
2021-03-02,-0.3480,-0.3350,-0.3060,-0.3520,4.50%
2021-03-01,-0.3330,-0.2960,-0.2790,-0.3460,29.57%
2021-02-26,-0.2570,-0.2210,-0.2030,-0.2870,13.22%
2021-02-25,-0.2270,-0.2950,-0.2140,-0.3040,-25.33%
2021-02-24,-0.3040,-0.3280,-0.2740,-0.3340,-4.70%
2021-02-23,-0.3190,-0.3370,-0.2870,-0.3390,-7.80%
2021-02-22,-0.3460,-0.2840,-0.2780,-0.3620,10.54%
2021-02-19,-0.3130,-0.3220,-0.3060,-0.3380,-8.48%
2021-02-18,-0.3420,-0.3660,-0.3230,-0.3720,-5.79%
2021-02-17,-0.3630,-0.3420,-0.3290,-0.3730,4.01%
2021-02-16,-0.3490,-0.3880,-0.3460,-0.3980,-9.11%
2021-02-15,-0.3840,-0.3960,-0.3760,-0.4020,-10.70%
2021-02-12,-0.4300,-0.4570,-0.4210,-0.4670,-6.11%
2021-02-11,-0.4580,-0.4350,-0.4350,-0.4740,4.57%
2021-02-10,-0.4380,-0.4420,-0.4270,-0.4590,-2.23%
2021-02-09,-0.4480,-0.4390,-0.4280,-0.4580,1.13%
2021-02-08,-0.4430,-0.4270,-0.4120,-0.4460,0.00%
2021-02-05,-0.4430,-0.4600,-0.4130,-0.4680,-2.85%
2021-02-04,-0.4560,-0.4630,-0.4420,-0.4740,-2.36%
2021-02-03,-0.4670,-0.4750,-0.4620,-0.4860,-4.30%
2021-02-02,-0.4880,-0.5070,-0.4770,-0.5160,-4.87%
2021-02-01,-0.5130,-0.5190,-0.4980,-0.5270,-1.35%
2021-01-29,-0.5200,-0.5360,-0.4920,-0.5400,-4.06%
2021-01-28,-0.5420,-0.5510,-0.5340,-0.5600,-1.28%
2021-01-27,-0.5490,-0.5300,-0.5230,-0.5670,3.39%
2021-01-26,-0.5310,-0.5560,-0.5250,-0.5610,-3.45%
2021-01-25,-0.5500,-0.5120,-0.5080,-0.5550,7.21%
2021-01-22,-0.5130,-0.4920,-0.4860,-0.5200,3.01%
2021-01-21,-0.4980,-0.5330,-0.4860,-0.5370,-5.86%
2021-01-20,-0.5290,-0.5220,-0.5170,-0.5330,0.38%
2021-01-19,-0.5270,-0.5190,-0.5080,-0.5290,0.38%
2021-01-18,-0.5250,-0.5450,-0.5150,-0.5520,-3.14%
2021-01-15,-0.5420,-0.5540,-0.5290,-0.5600,-1.09%
2021-01-14,-0.5480,-0.5250,-0.5210,-0.5620,4.58%
2021-01-13,-0.5240,-0.4850,-0.4810,-0.5270,11.73%
2021-01-12,-0.4690,-0.4880,-0.4590,-0.4960,-4.48%
2021-01-11,-0.4910,-0.5260,-0.4900,-0.5350,-5.03%
2021-01-08,-0.5170,-0.5120,-0.5100,-0.5330,-5.31%
2021-01-07,-0.5460,-0.5460,-0.5360,-0.5740,0.00%
2021-01-06,-0.5460,-0.5380,-0.5300,-0.5650,-6.51%
2021-01-05,-0.5840,-0.6010,-0.5760,-0.6070,-2.50%
2021-01-04,-0.5990,-0.5700,-0.5600,-0.6150,4.72%
2021-01-01,-0.5720,-0.5720,-0.5720,-0.5720,-0.52%
2020-12-31,-0.5750,-0.5750,-0.5680,-0.5750,0.88%
2020-12-30,-0.5700,-0.5760,-0.5450,-0.5820,-1.04%
2020-12-29,-0.5760,-0.5680,-0.5600,-0.5800,2.31%
