Date (Sweden),Price,Open,High,Low,Change %
2020-05-22,-0.064,-0.075,-0.057,-0.086,25.49%
2020-05-20,-0.051,-0.050,-0.032,-0.057,10.87%
2020-05-19,-0.046,-0.063,-0.022,-0.083,-27.56%
2020-05-18,-0.064,-0.075,-0.060,-0.093,-24.40%
2020-05-16,-0.084,-0.084,-0.084,-0.084,-0.59%
2020-05-15,-0.084,-0.090,-0.082,-0.102,-11.52%
2020-05-14,-0.095,-0.100,-0.089,-0.112,22.44%
2020-05-13,-0.078,-0.060,-0.041,-0.103,108.00%
2020-05-12,-0.038,-0.050,-0.016,-0.056,-40.94%
2020-05-11,-0.064,-0.090,-0.060,-0.097,-31.35%
2020-05-08,-0.093,-0.118,-0.089,-0.136,-20.60%
2020-05-07,-0.116,-0.085,-0.079,-0.118,18.27%
2020-05-06,-0.098,-0.119,-0.091,-0.132,-24.23%
2020-05-05,-0.130,-0.125,-0.101,-0.139,4.00%
2020-05-04,-0.125,-0.118,-0.118,-0.152,4.17%
2020-04-30,-0.120,-0.138,-0.105,-0.154,-12.41%
2020-04-29,-0.137,-0.114,-0.094,-0.150,25.69%
2020-04-28,-0.109,-0.094,-0.068,-0.111,26.01%
2020-04-27,-0.086,-0.071,-0.071,-0.098,21.83%
2020-04-26,-0.071,-0.071,-0.071,-0.071,0.00%
2020-04-24,-0.071,-0.059,-0.047,-0.092,118.46%
2020-04-23,-0.032,0.001,0.005,-0.041,12.07%
2020-04-22,-0.029,-0.049,-0.007,-0.054,-44.76%
2020-04-21,-0.052,-0.043,-0.038,-0.073,23.53%
2020-04-20,-0.043,-0.068,-0.034,-0.081,-40.56%
2020-04-17,-0.072,-0.089,-0.068,-0.096,-21.86%
2020-04-16,-0.091,-0.089,-0.076,-0.103,-8.04%
2020-04-15,-0.100,-0.054,-0.049,-0.105,128.74%
2020-04-14,-0.043,-0.009,-0.009,-0.045,987.50%
2020-04-09,-0.004,0.001,0.029,-0.015,-76.47%
2020-04-08,-0.017,-0.080,-0.009,-0.080,-75.18%
2020-04-07,-0.068,-0.120,-0.064,-0.126,-49.45%
2020-04-06,-0.135,-0.171,-0.120,-0.171,-20.76%
2020-04-03,-0.171,-0.164,-0.152,-0.181,5.23%
2020-04-02,-0.162,-0.130,-0.120,-0.164,5.18%
2020-04-01,-0.154,-0.142,-0.141,-0.170,8.04%
2020-03-31,-0.143,-0.145,-0.106,-0.153,-15.13%
2020-03-30,-0.169,-0.095,-0.095,-0.170,91.48%
2020-03-29,-0.088,-0.088,-0.088,-0.088,-1.68%
2020-03-27,-0.090,-0.026,-0.026,-0.104,"-1,094.44%"
2020-03-26,0.009,0.021,0.029,-0.013,-48.57%
2020-03-25,0.018,-0.001,0.038,-0.013,-245.83%
2020-03-24,-0.012,-0.006,-0.006,-0.040,-64.71%
2020-03-23,-0.034,-0.006,-0.002,-0.056,-500.00%
2020-03-20,0.009,0.039,0.039,-0.005,-89.94%
2020-03-19,0.084,-0.066,0.095,-0.075,"-1,977.78%"
2020-03-18,-0.004,-0.061,0.015,-0.061,-95.57%
2020-03-17,-0.101,-0.045,-0.007,-0.109,202.99%
2020-03-16,-0.034,-0.177,-0.032,-0.186,-80.18%
2020-03-14,-0.169,-0.169,-0.169,-0.169,-2.03%
2020-03-13,-0.172,-0.250,-0.163,-0.263,-51.06%
2020-03-12,-0.352,-0.401,-0.331,-0.401,-6.75%
2020-03-11,-0.378,-0.409,-0.363,-0.409,-11.06%
2020-03-10,-0.425,-0.464,-0.354,-0.488,-20.41%
2020-03-09,-0.534,-0.383,-0.383,-0.549,40.71%
2020-03-06,-0.380,-0.319,-0.319,-0.396,19.53%
2020-03-05,-0.317,-0.290,-0.284,-0.326,10.43%
2020-03-04,-0.287,-0.280,-0.269,-0.305,2.50%
2020-03-03,-0.280,-0.340,-0.250,-0.351,-17.38%
2020-03-02,-0.340,-0.282,-0.266,-0.367,18.71%
2020-02-29,-0.286,-0.286,-0.286,-0.286,-0.87%
2020-02-28,-0.289,-0.231,-0.225,-0.298,38.04%
2020-02-27,-0.209,-0.186,-0.169,-0.211,31.45%
2020-02-26,-0.159,-0.186,-0.153,-0.189,-10.17%
2020-02-25,-0.177,-0.170,-0.162,-0.207,7.27%
2020-02-24,-0.165,-0.121,-0.121,-0.178,36.93%
2020-02-21,-0.120,-0.116,-0.107,-0.132,21.72%
2020-02-20,-0.099,-0.056,-0.049,-0.113,78.38%
2020-02-19,-0.056,-0.012,-0.005,-0.063,692.86%
2020-02-18,-0.007,-0.011,0.002,-0.030,-177.78%
2020-02-17,0.009,0.007,0.023,0.006,12.50%
2020-02-15,0.008,0.008,0.008,0.008,23.08%
2020-02-14,0.007,0.008,0.015,-0.007,-31.58%
2020-02-13,0.009,0.019,0.019,-0.011,-50.00%
2020-02-12,0.019,0.034,0.038,0.012,46.15%
2020-02-11,0.013,0.020,0.041,0.013,-31.58%
2020-02-10,0.019,0.039,0.047,0.014,-37.70%
2020-02-07,0.031,0.034,0.055,0.031,-49.17%
2020-02-06,0.060,0.056,0.072,0.047,25.00%
2020-02-05,0.048,-0.006,0.062,-0.006,-972.73%
2020-02-04,-0.005,-0.050,0.002,-0.052,-87.91%
2020-02-03,-0.045,-0.046,-0.045,-0.066,-18.75%
2020-02-01,-0.056,-0.056,-0.056,-0.056,0.00%
2020-01-31,-0.056,-0.024,-0.023,-0.058,98.25%
2020-01-30,-0.029,-0.007,-0.007,-0.039,338.46%
2020-01-29,-0.007,0.009,0.022,-0.009,-141.94%
2020-01-28,0.015,-0.006,0.015,-0.030,-542.86%
2020-01-27,-0.004,0.054,0.056,-0.004,-105.98%
2020-01-24,0.058,0.078,0.095,0.058,-19.31%
2020-01-23,0.072,0.101,0.102,0.068,-29.27%
2020-01-22,0.102,0.125,0.126,0.097,-7.66%
2020-01-21,0.111,0.140,0.140,0.111,-20.71%
2020-01-20,0.140,0.143,0.152,0.137,-1.41%
2020-01-17,0.142,0.135,0.147,0.126,10.08%
2020-01-16,0.129,0.147,0.154,0.121,-10.10%
2020-01-15,0.144,0.182,0.182,0.135,-20.06%
2020-01-14,0.179,0.177,0.182,0.164,1.41%
2020-01-13,0.177,0.155,0.180,0.152,13.46%
2020-01-10,0.156,0.154,0.179,0.147,2.97%
2020-01-09,0.152,0.150,0.157,0.138,22.18%
2020-01-08,0.124,0.101,0.125,0.094,20.98%
2020-01-07,0.102,0.115,0.126,0.101,-17.34%
2020-01-03,0.124,0.138,0.138,0.080,-17.06%
2020-01-02,0.149,0.150,0.179,0.147,0.00%
2019-12-30,0.149,0.100,0.152,0.100,50.51%
2019-12-27,0.099,0.085,0.104,0.082,8.79%
2019-12-24,0.091,0.091,0.091,0.091,0.55%
2019-12-23,0.090,0.085,0.099,0.082,-3.72%
2019-12-20,0.094,0.087,0.100,0.072,6.21%
2019-12-19,0.089,0.070,0.101,0.062,59.46%
2019-12-18,0.056,0.030,0.056,0.024,56.34%
2019-12-17,0.036,0.039,0.052,0.028,-18.39%
2019-12-16,0.043,0.073,0.073,0.031,-42.38%
2019-12-13,0.075,0.106,0.106,0.063,36.04%
2019-12-12,0.056,0.027,0.056,-0.003,98.21%
2019-12-11,0.028,0.036,0.051,0.025,-31.71%
2019-12-10,0.041,0.025,0.046,0.025,32.26%
2019-12-09,0.031,0.039,0.043,0.024,-24.39%
2019-12-06,0.041,0.054,0.062,0.027,-26.79%
2019-12-05,0.056,0.031,0.065,0.027,166.67%
2019-12-04,0.021,0.010,0.030,-0.018,55.56%
2019-12-03,0.014,0.052,0.057,-0.002,-72.16%
2019-12-02,0.049,0.017,0.068,0.015,361.90%
2019-11-29,0.010,-0.010,0.016,-0.016,-205.00%
2019-11-28,-0.010,-0.018,-0.006,-0.036,-51.22%
2019-11-27,-0.021,-0.038,-0.019,-0.047,-46.05%
2019-11-26,-0.038,-0.035,-0.033,-0.047,-14.61%
2019-11-25,-0.045,-0.037,-0.028,-0.050,53.45%
2019-11-22,-0.029,-0.025,-0.012,-0.054,13.73%
2019-11-21,-0.025,-0.050,-0.021,-0.058,-51.89%
2019-11-20,-0.053,-0.033,-0.025,-0.072,231.25%
2019-11-19,-0.016,-0.017,0.004,-0.018,3.23%
2019-11-18,-0.015,-0.004,0.016,-0.016,158.33%
2019-11-15,-0.006,-0.020,-0.004,-0.025,-70.73%
2019-11-14,-0.021,-0.004,0.004,-0.023,"-1,125.00%"
2019-11-13,0.002,0.057,0.060,0.002,-96.72%
2019-11-12,0.061,0.054,0.083,0.052,7.96%
2019-11-11,0.056,0.056,0.059,0.030,-1.74%
2019-11-08,0.058,0.046,0.079,0.043,40.24%
2019-11-07,0.041,0.001,0.043,-0.003,"1,950.00%"
2019-11-06,0.002,0.011,0.036,-0.002,-78.95%
2019-11-05,0.009,-0.043,0.015,-0.043,-119.19%
2019-11-04,-0.049,-0.113,-0.049,-0.116,-55.80%
2019-11-01,-0.112,-0.126,-0.101,-0.136,-8.94%
2019-10-31,-0.123,-0.063,-0.062,-0.132,96.80%
2019-10-30,-0.063,-0.050,-0.038,-0.079,14.68%
2019-10-29,-0.054,-0.006,-0.006,-0.059,354.17%
2019-10-28,-0.012,-0.039,-0.005,-0.040,-61.29%
2019-10-25,-0.031,-0.033,-0.027,-0.046,-29.55%
2019-10-24,-0.044,-0.043,0.008,-0.045,10.00%
2019-10-23,-0.040,-0.078,-0.039,-0.089,-38.46%
2019-10-22,-0.065,-0.036,-0.036,-0.067,80.56%
2019-10-21,-0.036,-0.067,-0.030,-0.067,-56.10%
2019-10-18,-0.082,-0.115,-0.074,-0.126,-29.31%
2019-10-17,-0.116,-0.112,-0.062,-0.129,4.50%
2019-10-16,-0.111,-0.136,-0.110,-0.167,-37.64%
2019-10-15,-0.178,-0.194,-0.178,-0.212,-7.29%
2019-10-14,-0.192,-0.199,-0.192,-0.221,4.92%
2019-10-11,-0.183,-0.241,-0.183,-0.255,-26.21%
2019-10-10,-0.248,-0.295,-0.244,-0.295,-21.52%
2019-10-09,-0.316,-0.345,-0.311,-0.347,-7.33%
2019-10-08,-0.341,-0.318,-0.314,-0.344,2.71%
2019-10-07,-0.332,-0.335,-0.330,-0.349,0.00%
2019-10-04,-0.332,-0.346,-0.323,-0.353,-2.92%
2019-10-03,-0.342,-0.309,-0.304,-0.345,24.82%
2019-10-02,-0.274,-0.263,-0.252,-0.288,2.62%
2019-10-01,-0.267,-0.254,-0.234,-0.272,-0.37%
2019-09-30,-0.268,-0.262,-0.249,-0.269,-5.96%
2019-09-27,-0.285,-0.284,-0.267,-0.303,1.79%
2019-09-26,-0.280,-0.288,-0.274,-0.295,-5.41%
2019-09-25,-0.296,-0.286,-0.284,-0.312,7.25%
2019-09-24,-0.276,-0.249,-0.241,-0.276,9.09%
2019-09-23,-0.253,-0.204,-0.192,-0.266,27.78%
2019-09-20,-0.198,-0.191,-0.182,-0.215,1.54%
2019-09-19,-0.195,-0.203,-0.184,-0.209,-5.80%
2019-09-18,-0.207,-0.164,-0.164,-0.217,25.45%
2019-09-17,-0.165,-0.131,-0.126,-0.171,28.91%
2019-09-16,-0.128,-0.114,-0.105,-0.134,6.67%
2019-09-13,-0.120,-0.156,-0.113,-0.170,-36.51%
2019-09-12,-0.189,-0.201,-0.189,-0.274,-3.57%
2019-09-11,-0.196,-0.188,-0.165,-0.196,-6.67%
2019-09-10,-0.210,-0.183,-0.165,-0.237,15.38%
2019-09-09,-0.182,-0.230,-0.179,-0.230,-20.87%
2019-09-08,-0.230,-0.230,-0.230,-0.230,0.88%
2019-09-06,-0.228,-0.236,-0.192,-0.240,3.64%
2019-09-05,-0.220,-0.316,-0.218,-0.319,-29.49%
2019-09-04,-0.312,-0.334,-0.299,-0.343,-12.85%
2019-09-03,-0.358,-0.356,-0.346,-0.381,5.29%
2019-09-02,-0.340,-0.355,-0.327,-0.361,-6.85%
2019-08-30,-0.365,-0.354,-0.346,-0.374,0.27%
2019-08-29,-0.364,-0.374,-0.352,-0.383,-4.46%
2019-08-28,-0.381,-0.333,-0.331,-0.384,17.23%
2019-08-27,-0.325,-0.315,-0.302,-0.327,8.33%
2019-08-26,-0.300,-0.284,-0.279,-0.309,2.04%
2019-08-24,-0.294,-0.294,-0.294,-0.294,1.38%
2019-08-23,-0.290,-0.281,-0.256,-0.296,5.45%
2019-08-22,-0.275,-0.304,-0.265,-0.319,-10.13%
2019-08-21,-0.306,-0.328,-0.293,-0.329,-11.30%
2019-08-20,-0.345,-0.336,-0.330,-0.355,6.15%
2019-08-19,-0.325,-0.399,-0.319,-0.399,-22.43%
2019-08-18,-0.419,-0.419,-0.419,-0.419,0.00%
2019-08-16,-0.419,-0.403,-0.390,-0.433,7.16%
2019-08-15,-0.391,-0.330,-0.328,-0.396,19.57%
2019-08-14,-0.327,-0.285,-0.281,-0.327,20.66%
2019-08-13,-0.271,-0.273,-0.266,-0.290,5.04%
2019-08-12,-0.258,-0.245,-0.244,-0.263,2.38%
2019-08-10,-0.252,-0.252,-0.252,-0.252,2.44%
2019-08-09,-0.246,-0.264,-0.235,-0.264,6.96%
2019-08-08,-0.230,-0.236,-0.217,-0.262,-17.56%
2019-08-07,-0.279,-0.221,-0.207,-0.285,36.10%
2019-08-06,-0.205,-0.230,-0.198,-0.232,-6.82%
2019-08-05,-0.220,-0.213,-0.212,-0.236,17.02%
2019-08-02,-0.188,-0.163,-0.159,-0.200,37.23%
2019-08-01,-0.137,-0.134,-0.119,-0.142,1.48%
2019-07-31,-0.135,-0.120,-0.117,-0.136,14.41%
2019-07-30,-0.118,-0.083,-0.081,-0.123,66.20%
2019-07-29,-0.071,-0.053,-0.053,-0.076,44.90%
2019-07-26,-0.049,-0.039,-0.037,-0.060,308.33%
2019-07-25,-0.012,-0.020,-0.009,-0.087,-14.29%
2019-07-24,-0.014,0.014,0.016,-0.030,-240.00%
2019-07-23,0.010,0.018,0.020,0.005,-37.50%
2019-07-22,0.016,0.032,0.033,0.013,-40.74%
2019-07-19,0.027,0.036,0.043,0.018,-37.21%
2019-07-18,0.043,0.052,0.052,0.012,-32.81%
2019-07-17,0.064,0.083,0.085,0.051,-34.69%
2019-07-16,0.098,0.116,0.118,0.077,-14.78%
2019-07-15,0.115,0.150,0.150,0.113,-23.84%
2019-07-13,0.151,0.151,0.151,0.151,0.00%
2019-07-12,0.151,0.132,0.166,0.119,27.97%
2019-07-11,0.118,0.079,0.130,0.073,37.21%
2019-07-10,0.086,0.073,0.125,0.050,68.63%
2019-07-09,0.051,0.005,0.051,0.005,-525.00%
2019-07-08,-0.012,-0.017,-0.001,-0.026,"1,100.00%"
2019-07-07,-0.001,-0.001,-0.001,-0.001,-200.00%
2019-07-05,0.001,-0.029,0.006,-0.034,-103.23%
2019-07-04,-0.031,0.002,0.008,-0.033,-875.00%
2019-07-03,0.004,-0.004,0.008,-0.009,-78.95%
2019-07-02,0.019,0.022,0.027,0.007,-17.39%
2019-07-01,0.023,0.034,0.042,0.012,-11.54%
2019-06-29,0.026,0.026,0.026,0.026,-13.33%
2019-06-28,0.030,0.041,0.049,0.023,-11.76%
2019-06-27,0.034,0.031,0.053,0.030,209.09%
2019-06-26,0.011,0.006,0.027,0.004,120.00%
2019-06-25,0.005,0.023,0.023,-0.002,-82.14%
2019-06-24,0.028,0.017,0.030,0.006,100.00%
2019-06-21,0.014,0.014,0.014,0.014,0.00%
2019-06-20,0.014,0.011,0.026,0.004,-44.00%
2019-06-19,0.025,-0.015,0.025,-0.015,-350.00%
2019-06-18,-0.010,0.070,0.071,-0.019,-113.89%
2019-06-17,0.072,0.054,0.074,0.051,67.44%
2019-06-16,0.043,0.043,0.043,0.043,-20.37%
2019-06-14,0.054,0.024,0.060,0.016,80.00%
2019-06-13,0.030,0.039,0.040,0.013,-28.57%
2019-06-12,0.042,0.049,0.054,0.037,-19.23%
2019-06-11,0.052,0.074,0.074,0.049,-28.77%
2019-06-10,0.073,0.062,0.081,0.056,40.38%
2019-06-07,0.052,0.073,0.077,0.050,-42.22%
2019-06-06,0.090,0.090,0.090,0.090,7.14%
2019-06-05,0.084,0.059,0.093,0.058,29.23%
2019-06-04,0.065,0.084,0.085,0.060,-22.62%
2019-06-03,0.084,0.103,0.107,0.079,-19.23%
2019-06-02,0.104,0.104,0.104,0.104,-2.80%
2019-05-31,0.107,0.122,0.131,0.100,-24.65%
2019-05-30,0.142,0.142,0.142,0.142,0.00%
2019-05-29,0.142,0.156,0.162,0.133,-11.80%
2019-05-28,0.161,0.174,0.175,0.151,-8.00%
2019-05-27,0.175,0.190,0.190,0.172,-9.79%
2019-05-24,0.194,0.195,0.199,0.182,-2.02%
2019-05-23,0.198,0.207,0.210,0.190,-6.60%
2019-05-22,0.212,0.219,0.233,0.207,-1.85%
2019-05-21,0.216,0.214,0.233,0.207,3.35%
2019-05-20,0.209,0.194,0.211,0.193,17.42%
2019-05-19,0.178,0.178,0.178,0.178,-3.26%
2019-05-17,0.184,0.186,0.191,0.163,-2.13%
2019-05-16,0.188,0.182,0.195,0.166,3.30%
2019-05-15,0.182,0.204,0.204,0.173,-10.78%
2019-05-14,0.204,0.208,0.215,0.200,-4.23%
2019-05-13,0.213,0.216,0.219,0.207,-0.47%
2019-05-10,0.214,0.217,0.226,0.206,0.47%
2019-05-09,0.213,0.248,0.250,0.211,-17.12%
2019-05-08,0.257,0.265,0.268,0.241,-3.02%
2019-05-07,0.265,0.322,0.322,0.258,-17.19%
2019-05-06,0.320,0.316,0.333,0.315,-1.84%
2019-05-05,0.326,0.326,0.326,0.326,-0.61%
2019-05-03,0.328,0.321,0.346,0.318,9.33%
2019-05-02,0.300,0.310,0.313,0.296,-0.99%
2019-04-30,0.303,0.302,0.324,0.286,4.12%
2019-04-29,0.291,0.275,0.299,0.275,7.78%
2019-04-27,0.270,0.270,0.270,0.270,0.00%
2019-04-26,0.270,0.300,0.301,0.263,-10.89%
2019-04-25,0.303,0.385,0.388,0.300,-21.71%
2019-04-24,0.387,0.424,0.426,0.384,-8.29%
2019-04-23,0.422,0.420,0.435,0.420,0.48%
2019-04-18,0.420,0.442,0.443,0.401,-5.41%
2019-04-17,0.444,0.433,0.449,0.430,6.22%
2019-04-16,0.418,0.424,0.430,0.406,-1.88%
2019-04-15,0.426,0.412,0.434,0.411,3.65%
2019-04-13,0.411,0.411,0.411,0.411,-0.24%
2019-04-12,0.412,0.374,0.412,0.351,10.16%
2019-04-11,0.374,0.367,0.380,0.365,2.19%
2019-04-10,0.366,0.392,0.398,0.365,-4.19%
2019-04-09,0.382,0.405,0.421,0.380,-6.37%
2019-04-08,0.408,0.404,0.408,0.393,3.55%
2019-04-07,0.394,0.394,0.394,0.394,-1.50%
2019-04-05,0.400,0.407,0.418,0.394,1.27%
2019-04-04,0.395,0.390,0.395,0.370,0.51%
2019-04-03,0.393,0.364,0.395,0.361,14.24%
2019-04-02,0.344,0.349,0.351,0.334,0.58%
2019-04-01,0.342,0.344,0.347,0.316,97.69%
2019-03-30,0.173,0.173,0.173,0.173,0.00%
2019-03-29,0.000,0.163,0.189,0.159,0.00%
2019-03-28,0.000,0.163,0.165,0.136,0.00%
2019-03-27,0.000,0.203,0.207,0.157,0.00%
2019-03-26,0.000,0.232,0.234,0.217,0.00%
2019-03-25,0.000,0.213,0.239,0.204,0.00%
2019-03-22,0.000,0.279,0.281,0.199,0.00%
2019-03-21,0.000,0.308,0.309,0.274,0.00%
2019-03-20,0.000,0.342,0.343,0.324,0.00%
2019-03-19,0.000,0.327,0.346,0.322,0.00%
2019-03-18,0.000,0.326,0.336,0.309,-100.00%
2019-03-17,0.319,0.319,0.319,0.319,0.00%
2019-03-15,0.000,0.311,0.334,0.306,0.00%
2019-03-14,0.000,0.295,0.315,0.287,0.00%
2019-03-13,0.000,0.293,0.296,0.280,0.00%
2019-03-12,0.000,0.312,0.322,0.286,0.00%
2019-03-11,0.000,0.301,0.306,0.289,0.00%
2019-03-08,0.000,0.316,0.318,0.288,0.00%
2019-03-07,0.000,0.369,0.374,0.323,0.00%
2019-03-06,0.000,0.387,0.397,0.365,0.00%
2019-03-05,0.000,0.405,0.422,0.398,0.00%
2019-03-04,0.000,0.412,0.414,0.395,-100.00%
2019-03-03,0.414,0.414,0.414,0.414,0.00%
2019-03-01,0.000,0.402,0.419,0.384,0.00%
2019-02-28,0.000,0.337,0.398,0.335,0.00%
2019-02-27,0.000,0.312,0.342,0.302,0.00%
2019-02-26,0.000,0.321,0.327,0.303,0.00%
2019-02-25,0.000,0.320,0.332,0.315,-100.00%
2019-02-23,0.306,0.306,0.306,0.306,0.00%
2019-02-22,0.000,0.332,0.333,0.306,0.00%
2019-02-21,0.000,0.318,0.343,0.310,0.00%
2019-02-20,0.000,0.344,0.345,0.307,0.00%
2019-02-19,0.000,0.384,0.388,0.329,0.00%
2019-02-18,0.000,0.370,0.388,0.362,-100.00%
2019-02-17,0.370,0.370,0.370,0.370,0.00%
2019-02-15,0.000,0.366,0.379,0.356,0.00%
2019-02-14,0.000,0.373,0.381,0.353,0.00%
2019-02-13,0.000,0.352,0.382,0.343,0.00%
2019-02-12,0.000,0.351,0.357,0.341,0.00%
2019-02-11,0.000,0.328,0.334,0.315,-100.00%
2019-02-10,0.314,0.314,0.314,0.314,0.00%
2019-02-08,0.000,0.368,0.368,0.314,0.00%
2019-02-07,0.000,0.386,0.388,0.351,0.00%
2019-02-06,0.000,0.392,0.402,0.379,0.00%
2019-02-05,0.000,0.398,0.424,0.396,0.00%
2019-02-04,0.000,0.386,0.408,0.385,-100.00%
2019-02-02,0.386,0.386,0.386,0.386,0.00%
2019-02-01,0.000,0.388,0.401,0.382,0.00%
2019-01-31,0.000,0.415,0.415,0.388,0.00%
2019-01-30,0.000,0.426,0.430,0.402,0.00%
2019-01-29,0.000,0.423,0.438,0.419,0.00%
2019-01-28,0.000,0.428,0.445,0.415,-100.00%
2019-01-27,0.422,0.422,0.422,0.422,0.00%
2019-01-25,0.000,0.407,0.428,0.402,0.00%
2019-01-24,0.000,0.448,0.450,0.402,0.00%
2019-01-23,0.000,0.445,0.455,0.431,0.00%
2019-01-22,0.000,0.464,0.465,0.444,0.00%
2019-01-21,0.000,0.470,0.472,0.457,-100.00%
2019-01-19,0.459,0.459,0.459,0.459,0.00%
2019-01-18,0.000,0.444,0.485,0.442,0.00%
2019-01-17,0.000,0.436,0.452,0.419,0.00%
2019-01-16,0.000,0.405,0.445,0.404,0.00%
2019-01-15,0.000,0.406,0.416,0.383,0.00%
2019-01-14,0.000,0.407,0.410,0.387,0.00%
2019-01-11,0.000,0.417,0.423,0.400,0.00%
2019-01-10,0.000,0.428,0.430,0.407,0.00%
2019-01-09,0.000,0.434,0.451,0.425,0.00%
2019-01-08,0.000,0.439,0.446,0.424,0.00%
2019-01-07,0.000,0.412,0.420,0.396,-100.00%
2019-01-06,0.401,0.401,0.401,0.401,0.00%
2019-01-04,0.000,0.396,0.408,0.384,0.00%
2019-01-03,0.000,0.397,0.404,0.385,0.00%
2019-01-02,0.000,0.458,0.458,0.394,-100.00%
2019-01-01,0.465,0.465,0.465,0.465,0.00%
2018-12-28,0.000,0.452,0.472,0.440,0.00%
2018-12-27,0.000,0.462,0.464,0.443,-100.00%
2018-12-24,0.465,0.470,0.470,0.465,0.00%
2018-12-21,0.000,0.475,0.478,0.459,0.00%
2018-12-20,0.000,0.451,0.483,0.445,0.00%
2018-12-19,0.000,0.475,0.480,0.457,0.00%
2018-12-18,0.000,0.471,0.485,0.461,0.00%
2018-12-17,0.000,0.466,0.480,0.461,0.00%
2018-12-14,0.000,0.461,0.469,0.447,0.00%
2018-12-13,0.000,0.463,0.477,0.451,0.00%
2018-12-12,0.000,0.473,0.483,0.450,0.00%
2018-12-11,0.000,0.472,0.492,0.470,0.00%
2018-12-10,0.000,0.467,0.480,0.453,-100.00%
2018-12-08,0.464,0.464,0.464,0.464,0.00%
2018-12-07,0.000,0.448,0.475,0.446,0.00%
2018-12-06,0.000,0.479,0.482,0.448,0.00%
2018-12-05,0.000,0.485,0.489,0.466,0.00%
2018-12-04,0.000,0.495,0.496,0.479,0.00%
2018-12-03,0.000,0.498,0.505,0.478,-100.00%
2018-12-01,0.487,0.487,0.487,0.487,0.00%
2018-11-30,0.000,0.493,0.495,0.479,0.00%
2018-11-29,0.000,0.522,0.524,0.490,0.00%
2018-11-28,0.000,0.530,0.533,0.517,0.00%
2018-11-27,0.000,0.551,0.551,0.534,0.00%
2018-11-26,0.000,0.555,0.565,0.548,0.00%
2018-11-23,0.000,0.561,0.570,0.537,0.00%
2018-11-22,0.000,0.564,0.565,0.548,0.00%
2018-11-21,0.000,0.569,0.584,0.560,0.00%
2018-11-20,0.000,0.584,0.585,0.556,0.00%
2018-11-19,0.000,0.581,0.599,0.581,-100.00%
2018-11-18,0.579,0.579,0.579,0.579,0.00%
2018-11-17,0.579,0.579,0.579,0.579,0.00%
2018-11-16,0.000,0.583,0.595,0.569,0.00%
2018-11-15,0.000,0.621,0.621,0.577,0.00%
2018-11-14,0.000,0.626,0.629,0.596,0.00%
2018-11-13,0.000,0.636,0.641,0.625,0.00%
2018-11-12,0.000,0.646,0.647,0.624,-100.00%
2018-11-11,0.649,0.649,0.649,0.649,0.00%
2018-11-09,0.000,0.674,0.674,0.643,0.00%
2018-11-08,0.000,0.659,0.676,0.655,0.00%
2018-11-07,0.000,0.652,0.670,0.649,0.00%
2018-11-06,0.000,0.656,0.660,0.635,0.00%
2018-11-05,0.000,0.660,0.665,0.649,-100.00%
2018-11-03,0.669,0.669,0.669,0.669,0.00%
2018-11-02,0.000,0.663,0.675,0.657,0.00%
2018-11-01,0.000,0.621,0.652,0.618,0.00%
2018-10-31,0.000,0.622,0.626,0.612,0.00%
2018-10-30,0.000,0.619,0.630,0.598,0.00%
2018-10-29,0.000,0.591,0.625,0.585,-100.00%
2018-10-27,0.594,0.594,0.594,0.594,0.00%
2018-10-26,0.000,0.624,0.625,0.591,0.00%
2018-10-25,0.000,0.630,0.645,0.614,0.00%
2018-10-24,0.000,0.650,0.661,0.628,0.00%
2018-10-23,0.000,0.665,0.670,0.642,0.00%
2018-10-22,0.000,0.694,0.696,0.664,0.00%
2018-10-19,0.000,0.666,0.668,0.628,0.00%
2018-10-18,0.000,0.694,0.703,0.672,0.00%
2018-10-17,0.000,0.692,0.696,0.674,0.00%
2018-10-16,0.000,0.708,0.716,0.693,0.00%
2018-10-15,0.000,0.717,0.725,0.703,-100.00%
2018-10-14,0.720,0.720,0.720,0.720,0.00%
2018-10-12,0.000,0.741,0.741,0.715,0.00%
2018-10-11,0.000,0.685,0.734,0.679,0.00%
2018-10-10,0.000,0.706,0.731,0.702,0.00%
2018-10-09,0.000,0.718,0.732,0.699,0.00%
2018-10-08,0.000,0.722,0.732,0.696,-100.00%
2018-10-07,0.707,0.707,0.707,0.707,0.00%
2018-10-05,0.000,0.706,0.725,0.697,0.00%
2018-10-04,0.000,0.696,0.709,0.676,0.00%
2018-10-03,0.000,0.640,0.657,0.622,0.00%
2018-10-02,0.000,0.626,0.639,0.595,0.00%
2018-10-01,0.000,0.632,0.673,0.625,-100.00%
2018-09-29,0.631,0.631,0.631,0.631,0.00%
2018-09-28,0.000,0.650,0.662,0.620,0.00%
2018-09-27,0.000,0.640,0.666,0.631,0.00%
2018-09-26,0.000,0.682,0.683,0.664,0.00%
2018-09-25,0.000,0.677,0.691,0.672,0.00%
2018-09-24,0.000,0.623,0.658,0.623,-100.00%
2018-09-22,0.620,0.620,0.620,0.620,0.00%
2018-09-21,0.000,0.642,0.643,0.614,0.00%
2018-09-20,0.000,0.648,0.656,0.634,0.00%
2018-09-19,0.000,0.628,0.655,0.628,0.00%
2018-09-18,0.000,0.616,0.628,0.594,-100.00%
2018-09-17,0.610,0.584,0.623,0.577,10.51%
