Date (Sweden),Price,Open,High,Low,Change %
2021-03-10,0.388,0.410,0.426,0.385,-5.37%
2021-03-09,0.410,0.450,0.450,0.392,-9.89%
2021-03-08,0.455,0.454,0.462,0.449,1.90%
2021-03-05,0.447,0.435,0.460,0.430,7.59%
2021-03-04,0.415,0.396,0.432,0.381,4.67%
2021-03-03,0.396,0.352,0.396,0.336,12.64%
2021-03-02,0.352,0.342,0.355,0.342,1.88%
2021-03-01,0.345,0.382,0.382,0.345,-15.63%
2021-02-26,0.410,0.349,0.433,0.349,-7.46%
2021-02-25,0.442,0.349,0.442,0.349,26.61%
2021-02-24,0.350,0.340,0.350,0.304,4.02%
2021-02-23,0.336,0.290,0.340,0.290,15.86%
2021-02-22,0.290,0.328,0.346,0.290,-9.52%
2021-02-19,0.320,0.313,0.320,0.306,3.39%
2021-02-18,0.310,0.281,0.310,0.281,10.52%
2021-02-17,0.280,0.275,0.301,0.275,2.94%
2021-02-16,0.273,0.240,0.275,0.235,13.54%
2021-02-15,0.240,0.190,0.243,0.190,25.65%
2021-02-12,0.191,0.157,0.197,0.155,22.44%
2021-02-11,0.156,0.159,0.161,0.141,-4.59%
2021-02-10,0.163,0.176,0.179,0.163,-9.42%
2021-02-09,0.181,0.170,0.184,0.155,6.18%
2021-02-08,0.170,0.149,0.170,0.144,22.30%
2021-02-05,0.139,0.134,0.167,0.124,0.00%
2021-02-04,0.139,0.134,0.139,0.119,7.75%
2021-02-03,0.129,0.119,0.129,0.113,13.16%
2021-02-02,0.114,0.099,0.115,0.099,18.75%
2021-02-01,0.096,0.097,0.099,0.087,0.52%
2021-01-29,0.095,0.058,0.104,0.058,67.54%
2021-01-28,0.057,0.045,0.057,0.040,28.09%
2021-01-27,0.045,0.064,0.075,0.044,-24.58%
2021-01-26,0.059,0.049,0.064,0.048,6.31%
2021-01-25,0.056,0.085,0.085,0.056,-34.71%
2021-01-22,0.085,0.100,0.100,0.081,-17.87%
2021-01-21,0.104,0.076,0.109,0.076,29.38%
2021-01-20,0.080,0.074,0.085,0.064,5.26%
2021-01-19,0.076,0.069,0.079,0.069,10.14%
2021-01-18,0.069,0.054,0.069,0.051,27.78%
2021-01-15,0.054,0.033,0.054,0.033,61.19%
2021-01-14,0.034,0.066,0.066,0.029,-50.37%
2021-01-13,0.068,0.093,0.093,0.068,-35.71%
2021-01-12,0.105,0.072,0.105,0.072,43.84%
2021-01-11,0.073,0.060,0.073,0.054,14.06%
2021-01-08,0.064,0.043,0.068,0.041,42.22%
2021-01-07,0.045,0.049,0.049,0.026,"-4,600.00%"
2021-01-05,-0.001,-0.009,0.002,-0.009,-80.00%
2021-01-04,-0.005,0.016,0.016,-0.013,-123.81%
2020-12-30,0.021,0.015,0.025,0.010,40.00%
2020-12-29,0.015,0.026,0.026,0.009,-42.31%
2020-12-28,0.026,0.014,0.032,0.014,"-1,400.00%"
2020-12-23,-0.002,-0.001,-0.001,-0.004,-300.00%
2020-12-22,0.001,-0.015,0.004,-0.016,-106.25%
2020-12-21,-0.016,-0.011,-0.011,-0.042,45.45%
2020-12-18,-0.011,-0.001,0.007,-0.012,-59.26%
2020-12-17,-0.027,-0.007,-0.007,-0.027,145.45%
2020-12-16,-0.011,-0.061,-0.005,-0.064,-83.33%
2020-12-15,-0.066,-0.062,-0.062,-0.072,6.45%
2020-12-14,-0.062,-0.064,-0.056,-0.071,1.64%
2020-12-11,-0.061,-0.028,-0.028,-0.061,165.22%
2020-12-10,-0.023,-0.022,-0.022,-0.049,9.52%
2020-12-09,-0.021,-0.024,-0.015,-0.026,-25.00%
2020-12-08,-0.028,-0.005,-0.005,-0.028,460.00%
2020-12-07,-0.005,0.044,0.044,-0.005,-111.36%
2020-12-04,0.044,0.036,0.046,0.028,23.94%
2020-12-03,0.036,0.056,0.056,0.020,-36.04%
2020-12-02,0.056,0.053,0.056,0.040,7.77%
2020-12-01,0.052,-0.007,0.052,-0.007,"-1,036.36%"
2020-11-30,-0.005,-0.018,-0.005,-0.019,-69.44%
2020-11-27,-0.018,-0.044,-0.018,-0.045,-55.00%
2020-11-26,-0.040,-0.019,-0.019,-0.057,29.03%
2020-11-25,-0.031,-0.044,-0.020,-0.044,-27.91%
2020-11-24,-0.043,-0.044,-0.039,-0.047,-12.24%
2020-11-23,-0.049,-0.044,-0.043,-0.064,25.64%
2020-11-20,-0.039,-0.034,-0.029,-0.039,77.27%
2020-11-19,-0.022,-0.004,-0.004,-0.029,"-2,300.00%"
2020-11-18,0.001,-0.002,0.001,-0.020,0.00%
2020-11-17,0.001,0.011,0.019,0.001,-90.91%
2020-11-16,0.011,-0.007,0.032,-0.009,-300.00%
2020-11-13,-0.005,0.021,0.021,-0.014,-126.19%
2020-11-12,0.021,0.036,0.036,0.017,-40.85%
2020-11-11,0.036,0.071,0.072,0.032,-46.62%
2020-11-10,0.067,0.036,0.067,0.027,177.08%
2020-11-09,0.024,-0.050,0.026,-0.059,-160.00%
2020-11-06,-0.040,-0.045,-0.040,-0.061,0.00%
2020-11-05,-0.040,-0.050,-0.038,-0.051,-18.37%
2020-11-04,-0.049,-0.040,-0.032,-0.066,19.51%
2020-11-03,-0.041,-0.057,-0.041,-0.057,-31.67%
2020-11-02,-0.060,-0.074,-0.057,-0.074,-20.00%
2020-10-30,-0.075,-0.074,-0.059,-0.075,1.35%
2020-10-29,-0.074,-0.065,-0.065,-0.078,13.85%
2020-10-28,-0.065,-0.051,-0.051,-0.091,27.45%
2020-10-27,-0.051,-0.021,-0.014,-0.051,325.00%
2020-10-26,-0.012,-0.020,-0.009,-0.032,-14.29%
2020-10-23,-0.014,-0.036,-0.009,-0.038,-61.11%
2020-10-22,-0.036,-0.045,-0.036,-0.051,-28.00%
2020-10-21,-0.050,-0.063,-0.034,-0.063,-25.37%
2020-10-20,-0.067,-0.080,-0.067,-0.088,-16.25%
