"Date","Price","Open","High","Low","Change %"
"Apr 22, 2022","0.925","0.922","0.936","0.894","1.87%"
"Apr 21, 2022","0.908","0.889","0.915","0.859","4.37%"
"Apr 20, 2022","0.870","0.937","0.951","0.848","-8.71%"
"Apr 19, 2022","0.953","0.887","0.963","0.867","11.85%"
"Apr 14, 2022","0.852","0.824","0.859","0.763","5.45%"
"Apr 13, 2022","0.808","0.913","0.937","0.779","-6.05%"
"Apr 12, 2022","0.860","0.823","0.885","0.818","6.83%"
"Apr 11, 2022","0.805","0.751","0.805","0.710","8.05%"
"Apr 08, 2022","0.745","0.681","0.745","0.671","5.52%"
"Apr 07, 2022","0.706","0.653","0.706","0.636","4.44%"
"Apr 06, 2022","0.676","0.622","0.676","0.622","8.68%"
"Apr 05, 2022","0.622","0.515","0.622","0.515","15.61%"
"Apr 04, 2022","0.538","0.611","0.614","0.509","-12.52%"
"Apr 01, 2022","0.615","0.634","0.651","0.599","3.71%"
"Mar 31, 2022","0.593","0.705","0.705","0.580","-14.55%"
"Mar 30, 2022","0.694","0.649","0.749","0.649","4.05%"
"Mar 29, 2022","0.667","0.644","0.760","0.639","10.61%"
"Mar 28, 2022","0.603","0.598","0.603","0.570","6.91%"
"Mar 25, 2022","0.564","0.510","0.564","0.484","9.30%"
"Mar 24, 2022","0.516","0.474","0.535","0.447","6.39%"
"Mar 23, 2022","0.485","0.505","0.505","0.451","-0.61%"
"Mar 22, 2022","0.488","0.475","0.521","0.473","10.41%"
"Mar 21, 2022","0.442","0.414","0.447","0.388","12.76%"
"Mar 18, 2022","0.392","0.401","0.403","0.362","-3.92%"
"Mar 17, 2022","0.408","0.450","0.450","0.384","-6.64%"
"Mar 16, 2022","0.437","0.438","0.458","0.410","14.10%"
"Mar 15, 2022","0.383","0.375","0.409","0.368","-11.34%"
"Mar 14, 2022","0.432","0.353","0.432","0.353","18.03%"
"Mar 11, 2022","0.366","0.338","0.392","0.337","1.95%"
"Mar 10, 2022","0.359","0.282","0.361","0.246","31.02%"
"Mar 09, 2022","0.274","0.226","0.302","0.223","18.61%"
"Mar 08, 2022","0.231","0.159","0.263","0.159","31.25%"
"Mar 07, 2022","0.176","0.180","0.188","0.149","-3.30%"
"Mar 04, 2022","0.182","0.183","0.205","0.165","-4.21%"
"Mar 03, 2022","0.190","0.143","0.210","0.143","12.43%"
"Mar 02, 2022","0.169","0.082","0.174","0.070","111.25%"
"Mar 01, 2022","0.080","0.245","0.245","0.080","-69.58%"
"Feb 28, 2022","0.263","0.318","0.318","0.258","-17.55%"
"Feb 25, 2022","0.319","0.268","0.322","0.243","22.69%"
"Feb 24, 2022","0.260","0.226","0.260","0.220","-8.13%"
"Feb 23, 2022","0.283","0.264","0.297","0.255","5.99%"
"Feb 22, 2022","0.267","0.202","0.270","0.193","8.10%"
"Feb 21, 2022","0.247","0.258","0.272","0.220","-11.15%"
"Feb 18, 2022","0.278","0.277","0.278","0.237","2.58%"
"Feb 17, 2022","0.271","0.278","0.294","0.252","-13.42%"
"Feb 16, 2022","0.313","0.347","0.347","0.265","-10.06%"
"Feb 15, 2022","0.348","0.306","0.351","0.294","14.47%"
"Feb 14, 2022","0.304","0.299","0.304","0.217","-9.52%"
"Feb 11, 2022","0.336","0.293","0.336","0.248","19.15%"
"Feb 10, 2022","0.282","0.254","0.282","0.241","13.25%"
"Feb 09, 2022","0.249","0.308","0.308","0.245","-25.00%"
"Feb 08, 2022","0.332","0.305","0.334","0.280","22.96%"
"Feb 07, 2022","0.270","0.220","0.290","0.219","2.66%"
"Feb 04, 2022","0.263","0.201","0.264","0.175","51.15%"
"Feb 03, 2022","0.174","0.085","0.215","0.073","112.20%"
"Feb 02, 2022","0.082","0.069","0.098","0.059","10.81%"
"Feb 01, 2022","0.074","0.039","0.079","0.037","15.62%"
"Jan 31, 2022","0.064","0.014","0.069","0.013","433.33%"
"Jan 28, 2022","0.012","-0.003","0.021","-0.004","-180.00%"
"Jan 27, 2022","-0.015","0.005","0.011","-0.017","-16.67%"
"Jan 26, 2022","-0.018","-0.022","-0.014","-0.030","-45.45%"
"Jan 25, 2022","-0.033","-0.040","-0.020","-0.048","-23.26%"
"Jan 24, 2022","-0.043","-0.027","-0.024","-0.052","186.67%"
"Jan 21, 2022","-0.015","-0.023","-0.015","-0.040","7.14%"
"Jan 20, 2022","-0.014","0.025","0.025","-0.015","-200.00%"
"Jan 19, 2022","0.014","0.030","0.038","0.008","180.00%"
"Jan 18, 2022","0.005","0.011","0.028","0.002","-350.00%"
"Jan 17, 2022","-0.002","-0.003","0.003","-0.015","-50.00%"
"Jan 14, 2022","-0.004","-0.043","-0.004","-0.066","-92.16%"
"Jan 13, 2022","-0.051","-0.016","-0.012","-0.054","75.86%"
"Jan 12, 2022","-0.029","0.036","0.043","-0.029","-174.36%"
"Jan 11, 2022","0.039","0.034","0.045","0.014","21.87%"
"Jan 10, 2022","0.032","0.005","0.044","0.005","540.00%"
"Jan 07, 2022","0.005","-0.030","0.005","-0.030","-126.32%"
"Jan 06, 2022","-0.019","-0.049","-0.019","-0.066","-64.81%"
"Jan 05, 2022","-0.054","-0.081","-0.046","-0.081","-38.64%"
"Jan 04, 2022","-0.088","-0.099","-0.085","-0.111","-14.56%"
"Jan 03, 2022","-0.103","-0.132","-0.103","-0.141","-23.70%"
"Dec 30, 2021","-0.135","-0.141","-0.133","-0.155","-9.40%"
"Dec 29, 2021","-0.149","-0.199","-0.149","-0.199","-19.46%"
"Dec 28, 2021","-0.185","-0.199","-0.185","-0.213","-10.63%"
"Dec 27, 2021","-0.207","-0.207","-0.207","-0.207","16.95%"
"Dec 23, 2021","-0.177","-0.203","-0.177","-0.226","-12.38%"
"Dec 22, 2021","-0.202","-0.225","-0.195","-0.251","-13.30%"
"Dec 21, 2021","-0.233","-0.300","-0.233","-0.307","-22.59%"
"Dec 20, 2021","-0.301","-0.289","-0.289","-0.323","4.51%"
"Dec 17, 2021","-0.288","-0.269","-0.269","-0.310","7.46%"
"Dec 16, 2021","-0.268","-0.283","-0.254","-0.293","-7.90%"
"Dec 15, 2021","-0.291","-0.309","-0.288","-0.309","-4.90%"
"Dec 14, 2021","-0.306","-0.326","-0.297","-0.326","-1.92%"
"Dec 13, 2021","-0.312","-0.312","-0.311","-0.332","-1.27%"
"Dec 10, 2021","-0.316","-0.295","-0.293","-0.318","1.94%"
"Dec 09, 2021","-0.310","-0.283","-0.283","-0.313","11.51%"
"Dec 08, 2021","-0.278","-0.294","-0.275","-0.344","-7.33%"
"Dec 07, 2021","-0.300","-0.264","-0.257","-0.308","-0.99%"
"Dec 06, 2021","-0.303","-0.292","-0.283","-0.307","7.07%"
"Dec 03, 2021","-0.283","-0.283","-0.268","-0.287","1.80%"
"Dec 02, 2021","-0.278","-0.239","-0.200","-0.284","12.10%"
"Dec 01, 2021","-0.248","-0.239","-0.200","-0.248","4.64%"
"Nov 30, 2021","-0.237","-0.218","-0.218","-0.256","20.30%"
"Nov 29, 2021","-0.197","-0.233","-0.194","-0.237","-11.66%"
"Nov 26, 2021","-0.223","-0.199","-0.190","-0.237","51.70%"
"Nov 25, 2021","-0.147","-0.137","-0.137","-0.163","13.95%"
"Nov 24, 2021","-0.129","-0.147","-0.127","-0.155","-16.77%"
"Nov 23, 2021","-0.155","-0.168","-0.155","-0.179","-21.32%"
"Nov 22, 2021","-0.197","-0.174","-0.174","-0.208","3.14%"
"Nov 19, 2021","-0.191","-0.135","-0.133","-0.194","34.51%"
"Nov 18, 2021","-0.142","-0.139","-0.139","-0.152","19.33%"
"Nov 17, 2021","-0.119","-0.112","-0.104","-0.120","-0.83%"
"Nov 16, 2021","-0.120","-0.109","-0.097","-0.130","14.29%"
"Nov 15, 2021","-0.105","-0.159","-0.105","-0.170","-26.06%"
"Nov 12, 2021","-0.142","-0.116","-0.111","-0.150","40.59%"
"Nov 11, 2021","-0.101","-0.158","-0.101","-0.158","-45.41%"
"Nov 10, 2021","-0.185","-0.212","-0.183","-0.216","-18.14%"
"Nov 09, 2021","-0.226","-0.194","-0.184","-0.229","15.90%"
"Nov 08, 2021","-0.195","-0.193","-0.185","-0.203","-1.02%"
"Nov 05, 2021","-0.197","-0.152","-0.143","-0.205","33.11%"
"Nov 04, 2021","-0.148","-0.108","-0.106","-0.169","39.62%"
"Nov 03, 2021","-0.106","-0.103","-0.102","-0.138","-3.64%"
"Nov 02, 2021","-0.110","-0.044","-0.039","-0.110","-1,671.43%"
"Nov 01, 2021","0.007","-0.050","0.011","-0.050","-216.67%"
"Oct 29, 2021","-0.006","-0.048","0.013","-0.071","-93.33%"
"Oct 28, 2021","-0.090","-0.138","-0.072","-0.139","-38.36%"
"Oct 27, 2021","-0.146","-0.098","-0.091","-0.148","58.70%"
"Oct 26, 2021","-0.092","-0.068","-0.063","-0.102","27.78%"
"Oct 25, 2021","-0.072","-0.052","-0.044","-0.072","30.91%"
"Oct 22, 2021","-0.055","-0.055","-0.041","-0.065","-19.12%"
"Oct 21, 2021","-0.068","-0.086","-0.066","-0.088","-20.00%"
"Oct 20, 2021","-0.085","-0.069","-0.064","-0.091","10.39%"
"Oct 19, 2021","-0.077","-0.094","-0.063","-0.112","-18.09%"
"Oct 18, 2021","-0.094","-0.107","-0.072","-0.108","-3.09%"
"Oct 15, 2021","-0.097","-0.153","-0.097","-0.153","-39.37%"
"Oct 14, 2021","-0.160","-0.106","-0.101","-0.161","45.45%"
"Oct 13, 2021","-0.110","-0.041","-0.040","-0.111","175.00%"
"Oct 12, 2021","-0.040","-0.041","-0.040","-0.075","-25.93%"
"Oct 11, 2021","-0.054","-0.078","-0.051","-0.078","-41.30%"
"Oct 08, 2021","-0.092","-0.113","-0.092","-0.123","-33.33%"
"Oct 07, 2021","-0.138","-0.128","-0.128","-0.148","1.47%"
"Oct 06, 2021","-0.136","-0.105","-0.101","-0.146","7.09%"
"Oct 05, 2021","-0.127","-0.177","-0.127","-0.187","-21.60%"
"Oct 04, 2021","-0.162","-0.196","-0.162","-0.196","-9.50%"
"Oct 01, 2021","-0.179","-0.195","-0.177","-0.200","5.29%"
"Sep 30, 2021","-0.170","-0.176","-0.151","-0.192","-10.05%"
"Sep 29, 2021","-0.189","-0.134","-0.134","-0.193","35.00%"
"Sep 28, 2021","-0.140","-0.138","-0.127","-0.150","1.45%"
"Sep 27, 2021","-0.138","-0.163","-0.129","-0.171","-15.34%"
"Sep 24, 2021","-0.163","-0.191","-0.163","-0.191","-16.41%"
"Sep 23, 2021","-0.195","-0.242","-0.195","-0.247","-20.08%"
"Sep 22, 2021","-0.244","-0.216","-0.216","-0.277","-1.21%"
"Sep 21, 2021","-0.247","-0.244","-0.227","-0.258","9.29%"
