Date (Germany),Price,Open,High,Low,Change %,positive,negative,neutral,avg_positive,avg_negative,avg_neutral
2017-12-15,0.3020,0.3060,0.3100,0.2870,-2.89%,4.723618653137237,5.836737908422947,5.4396434389054775,0.2952261658210773,0.3647961192764342,0.33997771493159235
2017-12-16,0.3010,0.3010,0.3010,0.3010,-0.33%,0.015333185903728008,0.9564032554626465,0.028263650834560394,0.015333185903728008,0.9564032554626465,0.028263650834560394
2017-12-18,0.3080,0.3030,0.3150,0.2940,2.33%,5.0965683702379465,2.3353039044886827,1.5681277178227901,0.5662853744708829,0.2594782116098536,0.17423641309142113
2017-12-19,0.3800,0.3110,0.3840,0.2990,23.38%,2.8156932489946485,3.029889851808548,1.1544169075787067,0.40224189271352123,0.4328414074012211,0.1649167010826724
2017-12-20,0.4040,0.3860,0.4260,0.3590,6.32%,7.505405072122812,3.7073144568130374,0.7872806340456009,0.625450422676901,0.30894287140108645,0.06560671950380008
2017-12-21,0.4170,0.4180,0.4320,0.4030,3.22%,9.25623033940792,1.6795069249346852,2.0642623901367188,0.7120177184159939,0.12919284037959117,0.15878941462590143
2017-12-22,0.4220,0.4120,0.4270,0.4080,1.20%,2.6030192375183105,9.046380313113332,3.3506000163033605,0.17353461583455404,0.6030920208742221,0.22337333442022403
2017-12-25,0.4220,0.4210,0.4220,0.4180,0.00%,0.9584757927805185,0.8112557232379913,0.23026854172348976,0.47923789639025927,0.40562786161899567,0.11513427086174488
2017-12-26,0.4220,0.4210,0.4220,0.4210,0.00%,1.5947372578084469,1.4286186881363392,1.976643955335021,0.31894745156168935,0.2857237376272678,0.3953287910670042
2017-12-27,0.3800,0.4210,0.4240,0.3770,-9.95%,4.469655122607946,0.3106047734618187,1.2197400946170092,0.7449425204346577,0.05176746224363645,0.20329001576950154
2017-12-28,0.4230,0.3900,0.4260,0.3790,11.32%,3.0948243401944637,2.756244983524084,1.1489307153970003,0.4421177628849234,0.39374928336058346,0.1641329593424286
2017-12-29,0.4270,0.4260,0.4420,0.4160,0.95%,4.564081837423146,3.258695663884282,0.17722241580486298,0.5705102296778932,0.40733695798553526,0.022152801975607872
2018-01-01,0.4260,0.4240,0.4270,0.4240,-0.23%,1.9191338140517473,1.57284832932055,0.5080177523195744,0.47978345351293683,0.3932120823301375,0.1270044380798936
2018-01-02,0.4640,0.4320,0.4670,0.4240,8.92%,3.9615455232560635,1.8646911270916462,2.173763368278742,0.49519319040700793,0.23308639088645577,0.27172042103484273
2018-01-03,0.4390,0.4640,0.4700,0.4260,-5.39%,2.8702870458364487,1.1496432851999998,0.9800697155296803,0.5740574091672898,0.22992865703999996,0.19601394310593606
2018-01-04,0.4330,0.4530,0.4630,0.4320,-1.37%,3.894705457612872,4.509797429665923,0.5954972375184298,0.43274505084587467,0.5010886032962136,0.06616635972426997
2018-01-05,0.4400,0.4360,0.4470,0.4230,1.62%,6.469422744587064,7.328000441193581,1.2025765720754862,0.4312948496391376,0.4885333627462387,0.08017177147169909
2018-01-08,0.4340,0.4370,0.4570,0.4090,-1.36%,2.940612969920039,4.100169688463211,0.9592174775898457,0.3675766212400049,0.5125212110579014,0.11990218469873071
2018-01-09,0.4660,0.4400,0.4660,0.4140,7.37%,6.385218608658761,5.652236718684435,1.9625444766134024,0.4560870434756258,0.40373119419174536,0.14018174832952873
2018-01-10,0.4730,0.4730,0.4860,0.4590,1.50%,7.403602994512767,7.221790116280317,1.3746069287881255,0.4627251871570479,0.45136188226751983,0.08591293304925784
2018-01-11,0.5180,0.4600,0.5330,0.4470,9.51%,6.532209915108979,7.591238044202328,2.876552125439048,0.38424764206523404,0.4465434143648428,0.1692089485552381
2018-01-12,0.5150,0.5260,0.5430,0.5070,-0.58%,2.126755191013217,7.511032450944185,1.3622124614194036,0.19334138100120155,0.6828211319040168,0.12383749649267305
2018-01-15,0.5870,0.5800,0.5940,0.5630,13.98%,7.156948015093803,6.40653183311224,3.436520157381892,0.42099694206434135,0.3768548137124847,0.20214824455187602
2018-01-16,0.5590,0.5850,0.5860,0.5450,-4.77%,3.1267788987606764,3.291878569871187,3.581342396326363,0.31267788987606765,0.3291878569871187,0.3581342396326363
2018-01-17,0.5620,0.5590,0.5650,0.5470,0.54%,5.667620576918125,4.6977024264633656,4.634677143767476,0.3778413717945417,0.31318016176422436,0.3089784762511651
2018-01-18,0.5710,0.5750,0.5950,0.5670,1.60%,7.19993091840297,8.575895473361015,4.224173706956208,0.3599965459201485,0.42879477366805074,0.2112086853478104
2018-01-19,0.5680,0.5880,0.5960,0.5590,-0.53%,0.9790842570364475,1.2164359744638205,0.8044798597693443,0.32636141901214916,0.4054786581546068,0.2681599532564481
2018-01-22,0.5670,0.5770,0.5910,0.5610,-0.18%,2.8307699374854565,0.5276695769280195,3.6415605433285236,0.4043957053550652,0.07538136813257422,0.5202229347612176
2018-01-23,0.5600,0.5690,0.5690,0.5390,-1.23%,4.696385830640793,2.0532583333551884,0.2503557838499546,0.6709122615201133,0.2933226190507412,0.03576511197856495
2018-01-24,0.5850,0.5650,0.5960,0.5650,4.46%,5.147460923530161,5.284561257809401,0.5679777059704065,0.4679509930481965,0.48041465980085457,0.051634336906400596
2018-01-25,0.6090,0.5740,0.6400,0.5700,4.10%,11.494202721863985,5.477946683764458,3.0278507294133306,0.5747101360931992,0.2738973341882229,0.15139253647066653
2018-01-26,0.6260,0.6080,0.6340,0.5930,2.79%,3.8429839201271534,5.9578847996890545,0.19913117121905088,0.3842983920127153,0.5957884799689055,0.019913117121905088
2018-01-29,0.6910,0.6540,0.7070,0.6390,9.34%,1.0188691364601254,2.5988501887768507,0.38228074461221695,0.25471728411503136,0.6497125471942127,0.09557018615305424
2018-01-30,0.6850,0.6980,0.7000,0.6680,-0.87%,5.434452334418893,4.98497206158936,0.5805755825713277,0.49404112131080846,0.4531792783263055,0.052779598415575245
2018-01-31,0.6970,0.6820,0.6990,0.6560,1.75%,8.974628658033907,9.211852109059691,0.8135193046182394,0.4723488767386267,0.48483432152945743,0.042816805506223125
2018-02-01,0.7210,0.7060,0.7380,0.6930,3.44%,8.736044442281127,7.118903643451631,6.145051948726177,0.39709292919459666,0.3235865292478014,0.27932054312391713
2018-02-02,0.7680,0.7360,0.7710,0.7240,6.52%,4.182618787512183,3.6363433618098497,2.1810378348454833,0.41826187875121834,0.36363433618098495,0.21810378348454834
2018-02-05,0.7350,0.7710,0.7740,0.7200,-4.30%,4.427732286974788,2.1028620433062315,0.4694057600572705,0.6325331838535411,0.30040886332946165,0.06705796572246722
2018-02-06,0.6940,0.7040,0.7170,0.6640,-5.58%,6.637380743399262,3.9508861359208822,0.41173331905156374,0.6033982493999329,0.3591714669018984,0.03743030173196034
2018-02-07,0.7440,0.7070,0.7480,0.6860,7.20%,11.330627064220607,1.3325068671256304,0.3368660472333431,0.8715866972477391,0.10250052824043311,0.025912772864103317
2018-02-08,0.7620,0.7580,0.8080,0.7380,2.42%,5.748705447651446,11.87015314027667,0.38114175479859114,0.3193725248695248,0.6594529522375928,0.02117454193325506
2018-02-09,0.7470,0.7530,0.7760,0.7230,-1.97%,4.791104177944362,3.025689530186355,2.1832061633467674,0.4791104177944362,0.3025689530186355,0.21832061633467675
2018-02-12,0.7580,0.7510,0.7860,0.7380,1.47%,8.556307804770768,4.033702079206705,0.40999003406614065,0.6581775234439052,0.3102847753235927,0.03153769492816467
2018-02-13,0.7500,0.7510,0.7570,0.7180,-1.06%,4.387706685811281,1.1309173684567213,2.4813760463148355,0.5484633357264102,0.14136467105709016,0.31017200578935444
2018-02-14,0.7600,0.7380,0.7740,0.7240,1.33%,5.6109637431800365,6.932076690718532,1.4569597505033016,0.40078312451285975,0.49514833505132366,0.10406855360737868
2018-02-15,0.7650,0.7720,0.7960,0.7510,0.66%,6.1582830478437245,6.845221910625696,0.9964949488639832,0.43987736056026605,0.48894442218754974,0.07117821063314166
2018-02-16,0.7070,0.7740,0.7790,0.6990,-7.58%,1.257687535136938,2.612976649776101,1.129335829988122,0.25153750702738764,0.5225953299552202,0.2258671659976244
2018-02-18,0.7070,0.7070,0.7070,0.7070,0.00%,0.03306613489985466,1.0716763511300087,0.8952575176954269,0.01653306744992733,0.5358381755650043,0.44762875884771347
2018-02-19,0.7340,0.7210,0.7430,0.7160,3.82%,2.7542267441749573,0.0873455386608839,0.15842766501009464,0.9180755813916525,0.029115179553627968,0.05280922167003155
2018-02-20,0.7370,0.7470,0.7640,0.7160,0.41%,0.9846739480271935,2.7824638672173023,0.2328622480854392,0.2461684870067984,0.6956159668043256,0.0582155620213598
2018-02-21,0.7230,0.7290,0.7290,0.6970,-1.90%,1.5311432080343366,5.985476139932871,0.4833805151283741,0.19139290100429207,0.7481845174916089,0.06042256439104676
2018-02-22,0.7080,0.7490,0.7500,0.6980,-2.07%,2.0102728754281998,7.938530141487718,1.0511972000822425,0.1827520795843818,0.7216845583170652,0.0955633818256584
2018-02-23,0.6540,0.7070,0.7070,0.6510,-7.63%,3.77847343031317,3.061774952337146,0.15975170116871595,0.5397819186161671,0.4373964217624494,0.022821671595530852
2018-02-26,0.6530,0.6440,0.6710,0.6390,-0.15%,0.6609118906781077,5.928826712071896,1.4102616617456079,0.08261398633476347,0.741103339008987,0.17628270771820098
2018-02-27,0.6770,0.6630,0.6850,0.6530,3.68%,4.874626750126481,9.613970996811986,1.5114022558555007,0.30466417188290507,0.6008731873007491,0.0944626409909688
2018-02-28,0.6540,0.6770,0.6890,0.6540,-3.40%,13.6658102334477,8.052020382136106,1.2821692852303386,0.5941656623238131,0.35008784270156984,0.05574649066218863
2018-03-01,0.6420,0.6550,0.6580,0.6210,-1.83%,7.286928132176399,12.812897941097617,3.900174149312079,0.30362200550734997,0.533870747545734,0.16250725622133663
2018-03-02,0.6470,0.6300,0.6530,0.6060,0.78%,0.3593195006251335,4.63746696151793,1.003213407471776,0.059886583437522255,0.7729111602529883,0.16720223457862934
2018-03-05,0.6460,0.6180,0.6460,0.5960,-0.15%,6.730750378221273,1.6525913048535585,1.6166581474244595,0.6730750378221273,0.16525913048535584,0.16166581474244596
2018-03-06,0.6760,0.6620,0.7020,0.6400,4.64%,7.510336697101593,4.40001561678946,2.089647659100592,0.5364526212215424,0.31428682977067574,0.14926054707861372
2018-03-07,0.6540,0.6610,0.6760,0.6470,-3.25%,8.239637626800686,8.240998638793826,4.519363611005247,0.3923636965143184,0.3924285066092298,0.21520779100024984
2018-03-08,0.6300,0.6670,0.7030,0.6260,-3.67%,9.316879712510854,15.158944660797715,2.5241757538169622,0.3450696189818835,0.5614423948443599,0.09348799088210971
2018-03-09,0.6440,0.6370,0.6600,0.6310,2.22%,4.186422376893461,10.90619258582592,1.9073848174884915,0.24626013981726239,0.6415407403427011,0.11219910691108774
2018-03-12,0.6350,0.6550,0.6570,0.6230,-1.40%,4.553171841427684,3.97006749920547,1.4767604898661375,0.4553171841427684,0.397006749920547,0.14767604898661374
2018-03-13,0.6200,0.6290,0.6400,0.6080,-2.36%,12.184156887233257,2.439268222078681,0.37657507322728634,0.8122771258155504,0.16261788147191206,0.02510500488181909
2018-03-14,0.5920,0.6100,0.6300,0.5830,-4.52%,4.643218248151243,8.0574952326715,1.2992864679545164,0.33165844629651736,0.57553537376225,0.09280617628246546
2018-03-15,0.5740,0.5940,0.5970,0.5660,-3.04%,6.134508769027889,8.892909824848175,1.972581467591226,0.3608534570016405,0.5231123426381279,0.11603420397595447
2018-03-16,0.5710,0.5670,0.5850,0.5590,-0.52%,3.510893920902163,4.8176986631006,1.6714071612805128,0.3510893920902163,0.48176986631006,0.1671407161280513
2018-03-19,0.5690,0.5710,0.6070,0.5630,-0.35%,1.1166575597599149,2.004008177667856,0.8793342625722289,0.2791643899399787,0.501002044416964,0.21983356564305723
2018-03-20,0.5840,0.5770,0.5920,0.5740,2.64%,3.1411133892834187,3.2343862783163786,1.624500259757042,0.39263917366042733,0.4042982847895473,0.20306253246963024
2018-03-21,0.5920,0.5870,0.6040,0.5800,1.37%,6.715947227552533,3.511557688936591,3.772495231591165,0.4797105162537524,0.2508255492097565,0.2694639451136546
2018-03-22,0.5290,0.5790,0.5820,0.5160,-10.64%,5.77370695117861,3.8755064997822046,0.35078639443963766,0.577370695117861,0.3875506499782205,0.03507863944396376
2018-03-23,0.5250,0.5250,0.5500,0.5170,-0.76%,2.0950381541624665,4.76443488150835,0.14052719809114933,0.29929116488035235,0.6806335545011929,0.020075314013021334
2018-03-26,0.5220,0.5310,0.5480,0.5200,-1.14%,0.06891602277755737,0.9203486442565918,0.010735303163528442,0.06891602277755737,0.9203486442565918,0.010735303163528442
2018-03-27,0.5020,0.5320,0.5390,0.5000,-3.83%,2.713582464493811,2.1604976803064346,0.1259199772030115,0.5427164928987622,0.4320995360612869,0.025183995440602302
2018-03-28,0.5030,0.4960,0.5060,0.4730,0.20%,4.4698826828971505,3.183263558894396,0.34685361105948687,0.5587353353621438,0.3979079448617995,0.04335670138243586
2018-03-29,0.4930,0.5050,0.5130,0.4900,-1.99%,7.575220949016511,6.71758446469903,0.7071946458891034,0.5050147299344341,0.44783896431326864,0.04714630972594023
2018-03-30,0.4940,0.4970,0.4970,0.4940,0.20%,9.443982215598226,1.2638491718098521,0.2921688696369529,0.8585438377816569,0.1148953792554411,0.02656080633063208
2018-04-03,0.5020,0.4800,0.5210,0.4790,1.62%,4.492579307407141,9.602198924869299,0.9052219074219465,0.29950528716047603,0.6401465949912866,0.0603481271614631
2018-04-04,0.5020,0.5090,0.5110,0.4790,0.00%,4.169342254288495,4.589607181027532,1.2410505060106516,0.41693422542884945,0.4589607181027532,0.12410505060106516
2018-04-05,0.5260,0.5100,0.5380,0.5080,4.78%,2.5133004169911146,7.272372756153345,1.2143267821520567,0.22848185609010133,0.6611247960139405,0.11039334383200515
2018-04-06,0.5000,0.5160,0.5200,0.4920,-4.94%,3.2276155492290854,3.723224215209484,1.049159962683916,0.4034519436536357,0.4654030269011855,0.1311449953354895
2018-04-09,0.5050,0.5000,0.5120,0.4940,1.00%,2.7493255836889148,5.7417278327047825,0.5089464904740453,0.30548062040987944,0.6379697591894202,0.0565496100526717
2018-04-10,0.5160,0.5070,0.5290,0.4880,2.18%,3.711621165741235,8.201437534764409,3.0869413912296295,0.24744141104941567,0.5467625023176272,0.20579609274864197
2018-04-11,0.5010,0.5150,0.5160,0.4830,-2.91%,1.7466428559273481,6.095840282738209,3.1575168622657657,0.15878571417521348,0.5541672984307463,0.287046987478706
2018-04-12,0.5150,0.5020,0.5180,0.4930,2.79%,6.363776860758662,10.643803173676133,1.9924196433275938,0.3349356242504559,0.560200167035586,0.10486419175408389
2018-04-13,0.5110,0.5120,0.5370,0.5060,-0.78%,7.376757791265845,3.365046974271536,0.2581950891762972,0.6706143446605314,0.30591336129741237,0.023472280834208836
2018-04-16,0.5240,0.5160,0.5510,0.5150,2.34%,5.758706937544048,3.8789975252002478,3.3622957300394773,0.4429774567341575,0.2983844250154037,0.2586381330799598
2018-04-17,0.5070,0.5270,0.5390,0.5060,-3.24%,5.029090752825141,2.6008077953010798,0.37010153755545616,0.6286363441031426,0.32510097441263497,0.04626269219443202
2018-04-18,0.5320,0.5130,0.5350,0.4960,4.93%,2.305757876485586,2.0942300148308277,0.6000121012330055,0.46115157529711726,0.41884600296616553,0.1200024202466011
2018-04-19,0.5980,0.5380,0.6040,0.5380,12.41%,0.9417160637676716,2.910060938447714,0.1482230108231306,0.2354290159419179,0.7275152346119285,0.03705575270578265
2018-04-20,0.5900,0.5880,0.6130,0.5800,-1.34%,5.179931819438934,3.128514636307955,0.6915536504238844,0.5755479799376594,0.34761273736755055,0.07683929449154271
2018-04-23,0.6350,0.6130,0.6390,0.6100,7.63%,3.440561474300921,2.5250208973884583,1.0344179151579738,0.4915087820429887,0.36071727105549406,0.14777398787971055
2018-04-24,0.6290,0.6260,0.6550,0.6100,-0.94%,2.885305328294635,4.903580883517861,0.21111383754760027,0.36066316603682935,0.6129476104397327,0.026389229693450034
2018-04-25,0.6330,0.6280,0.6550,0.6250,0.64%,4.151202253997326,3.9561670310795307,1.8926308322697878,0.4151202253997326,0.39561670310795305,0.18926308322697877
