"Date","Price","Open","High","Low","Change %"
"May 25, 2019","-0.1160","-0.1110","-0.1110","-0.1170","0.00%"
"May 24, 2019","-0.1160","-0.1130","-0.1040","-0.1220","-3.33%"
"May 23, 2019","-0.1200","-0.0970","-0.0860","-0.1210","44.58%"
"May 22, 2019","-0.0830","-0.0650","-0.0580","-0.0890","43.10%"
"May 21, 2019","-0.0580","-0.0820","-0.0510","-0.0930","-34.09%"
"May 20, 2019","-0.0880","-0.0970","-0.0720","-0.1060","-14.56%"
"May 17, 2019","-0.1030","-0.1110","-0.0890","-0.1290","11.96%"
"May 16, 2019","-0.0920","-0.1080","-0.0830","-0.1200","-7.07%"
"May 15, 2019","-0.0990","-0.0740","-0.0690","-0.1320","41.43%"
"May 14, 2019","-0.0700","-0.0590","-0.0520","-0.0830","-2.78%"
"May 13, 2019","-0.0720","-0.0490","-0.0340","-0.0750","46.94%"
"May 11, 2019","-0.0490","-0.0490","-0.0490","-0.0490","11.36%"
"May 10, 2019","-0.0440","-0.0510","-0.0240","-0.0540","-8.33%"
"May 09, 2019","-0.0480","-0.0460","-0.0390","-0.0690","4.35%"
"May 08, 2019","-0.0460","-0.0290","-0.0230","-0.0630","15.00%"
"May 07, 2019","-0.0400","0.0040","0.0250","-0.0400","-766.67%"
"May 06, 2019","0.0060","-0.0030","0.0200","-0.0080","-66.67%"
"May 04, 2019","0.0180","0.0180","0.0180","0.0180","-25.00%"
"May 03, 2019","0.0240","0.0280","0.0500","0.0090","-17.24%"
"May 02, 2019","0.0290","0.0300","0.0420","0.0040","123.08%"
"May 01, 2019","0.0130","0.0130","0.0130","0.0130","0.00%"
"Apr 30, 2019","0.0130","-0.0050","0.0510","-0.0100","225.00%"
"Apr 29, 2019","0.0040","-0.0120","0.0170","-0.0150","-119.05%"
"Apr 26, 2019","-0.0210","-0.0120","-0.0030","-0.0270","133.33%"
"Apr 25, 2019","-0.0090","-0.0110","0.0000","-0.0190","-30.77%"
"Apr 24, 2019","-0.0130","0.0230","0.0360","-0.0180","-132.50%"
"Apr 23, 2019","0.0400","0.0330","0.0580","0.0280","66.67%"
"Apr 22, 2019","0.0240","0.0240","0.0240","0.0240","4.35%"
"Apr 19, 2019","0.0230","0.0240","0.0240","0.0230","0.00%"
"Apr 18, 2019","0.0230","0.0760","0.0850","0.0170","-71.60%"
"Apr 17, 2019","0.0810","0.0860","0.1020","0.0720","24.62%"
"Apr 16, 2019","0.0650","0.0600","0.0730","0.0370","14.04%"
"Apr 15, 2019","0.0570","0.0580","0.0800","0.0480","0.00%"
"Apr 12, 2019","0.0570","-0.0100","0.0610","-0.0240","-812.50%"
"Apr 11, 2019","-0.0080","-0.0260","-0.0040","-0.0320","-69.23%"
"Apr 10, 2019","-0.0260","-0.0100","0.0020","-0.0390","188.89%"
"Apr 09, 2019","-0.0090","0.0090","0.0210","-0.0150","-250.00%"
"Apr 08, 2019","0.0060","-0.0020","0.0120","-0.0070","0.00%"
"Apr 05, 2019","0.0060","0.0160","0.0240","-0.0070","-200.00%"
"Apr 04, 2019","-0.0060","0.0060","0.0070","-0.0160","-175.00%"
"Apr 03, 2019","0.0080","-0.0230","0.0130","-0.0240","-116.33%"
"Apr 02, 2019","-0.0490","-0.0370","-0.0240","-0.0550","81.48%"
"Apr 01, 2019","-0.0270","-0.0490","-0.0180","-0.0530","-60.29%"
"Mar 30, 2019","-0.0680","-0.0680","-0.0680","-0.0680","-4.23%"
"Mar 29, 2019","-0.0710","-0.0610","-0.0450","-0.0750","0.00%"
"Mar 28, 2019","-0.0710","-0.0870","-0.0590","-0.0920","-12.35%"
"Mar 27, 2019","-0.0810","-0.0310","-0.0290","-0.0940","440.00%"
"Mar 26, 2019","-0.0150","-0.0140","-0.0040","-0.0320","-46.43%"
"Mar 25, 2019","-0.0280","-0.0200","0.0040","-0.0320","133.33%"
"Mar 22, 2019","-0.0120","0.0490","0.0540","-0.0330","-128.57%"
"Mar 21, 2019","0.0420","0.0690","0.0720","0.0340","-49.40%"
"Mar 20, 2019","0.0830","0.1020","0.1110","0.0760","-17.82%"
"Mar 19, 2019","0.1010","0.0820","0.1240","0.0740","18.82%"
"Mar 18, 2019","0.0850","0.0860","0.1020","0.0720","1.19%"
"Mar 16, 2019","0.0840","0.0840","0.0840","0.0840","1.20%"
"Mar 15, 2019","0.0830","0.0770","0.1040","0.0660","-2.35%"
"Mar 14, 2019","0.0850","0.0780","0.0960","0.0660","34.92%"
"Mar 13, 2019","0.0630","0.0550","0.0760","0.0540","16.67%"
"Mar 12, 2019","0.0540","0.0800","0.1070","0.0520","-19.40%"
"Mar 11, 2019","0.0670","0.0650","0.0780","0.0550","-5.63%"
"Mar 09, 2019","0.0710","0.0710","0.0710","0.0710","0.00%"
"Mar 08, 2019","0.0710","0.0600","0.0790","0.0480","7.58%"
"Mar 07, 2019","0.0660","0.1230","0.1390","0.0610","-48.44%"
"Mar 06, 2019","0.1280","0.1700","0.1700","0.1230","-23.35%"
"Mar 05, 2019","0.1670","0.1660","0.1870","0.1580","1.83%"
"Mar 04, 2019","0.1640","0.1930","0.1950","0.1540","-13.23%"
"Mar 02, 2019","0.1890","0.1890","0.1890","0.1890","2.72%"
"Mar 01, 2019","0.1840","0.1890","0.2080","0.1790","1.10%"
"Feb 28, 2019","0.1820","0.1460","0.1950","0.1380","22.97%"
"Feb 27, 2019","0.1480","0.1100","0.1680","0.1030","24.37%"
"Feb 26, 2019","0.1190","0.1040","0.1270","0.0910","9.17%"
"Feb 25, 2019","0.1090","0.1000","0.1230","0.1000","15.96%"
"Feb 22, 2019","0.0940","0.1250","0.1270","0.0920","-27.13%"
