Date,Price,Open,High,Low,Change %,Change_num,positive,negative,neutral,avg_positive,avg_negative,avg_neutral,custom_est
2020-07-06,0.611,0.617,0.617,0.577,-0.97%,-0.006,7.098649613559246,5.7094213841483,2.191929348744452,0.4732433075706164,0.3806280922765533,0.1461286232496301,0.092615213154948
2020-07-07,0.608,0.612,0.612,0.591,-0.57%,-0.003,5.337584451772273,13.11148464307189,0.5509307524189342,0.2809254974616985,0.6900781391090468,0.0289963553904702,-0.4091526449364381
2020-07-08,0.632,0.595,0.632,0.591,4.12%,0.024,8.952164939139038,11.55239028390497,2.49544483795762,0.3892245625712625,0.5022778384306509,0.1084976016503312,-0.1130532755595433
2020-07-09,0.633,0.64,0.642,0.619,0.16%,0.001,5.403317917138337,10.324628572911024,1.272053716704249,0.3178422304199021,0.6073310925241779,0.074826689217897,-0.2894888585835188
2020-07-12,0.627,0.632,0.633,0.621,-1.03%,-0.006,2.7323933243751526,0.1925536934286355,0.075053023174405,0.9107977747917176,0.0641845644762118,0.0250176743914683,0.8466131987512793
2020-07-13,0.636,0.632,0.637,0.618,1.36%,0.009,10.578185714781284,7.962059209123254,0.4597550425678483,0.5567466165674361,0.4190557478485923,0.0241976338193604,0.1376908689618145
2020-07-14,0.619,0.613,0.632,0.613,-2.52%,-0.017,7.895457514561713,17.73932345677167,2.3652187986299387,0.2819806255200611,0.633547266313274,0.0844720999510692,-0.3515666436815421
2020-07-15,0.621,0.623,0.63,0.617,0.24%,0.002,16.500642590690404,11.245133923366666,4.254223407246172,0.5156450809590751,0.3514104351052083,0.1329444814764429,0.1642346462577647
2020-07-16,0.623,0.621,0.632,0.612,0.24%,0.002,8.386999398004264,16.681530728936195,2.931469984352588,0.2995356927858665,0.5957689546048641,0.104695356584021,-0.2962332606415439
2020-07-19,0.641,0.624,0.642,0.615,3.05%,0.018,1.6793094109743834,2.0611790977418423,0.2595114754512904,0.4198273527435958,0.5152947744354606,0.0648778688628226,-0.0954674220697363
2020-07-20,0.649,0.641,0.663,0.638,1.17%,0.008,7.421069278381765,7.134601935744286,0.4443289842456573,0.4947379518921176,0.475640129049619,0.0296219322830438,0.0190978225899341
2020-07-21,0.65,0.623,0.655,0.621,0.08%,0.001,3.8579800971783698,7.819508198648691,0.3225115519016976,0.3214983414315308,0.6516256832207242,0.0268759626584748,-0.3301273459782685
2020-07-22,0.639,0.65,0.65,0.636,-1.62%,-0.011,3.457303286530077,12.145541870966554,1.397155042737722,0.2033707815605928,0.7144436394686208,0.0821855907492777,-0.5110728518883608
2020-07-23,0.646,0.65,0.65,0.636,1.02%,0.007,9.926456729415804,12.02850499842316,2.045037903822958,0.4136023637256585,0.5011877082676316,0.0852099126592899,-0.0875853458861822
2020-07-26,0.638,0.637,0.65,0.637,-1.16%,-0.008,6.00620012357831,2.766600664705038,0.2271991595625874,0.6673555692864789,0.3074000738561153,0.0252443510625097,0.3599554975162682
2020-07-27,0.635,0.638,0.638,0.624,-0.55%,-0.003,4.914621856063604,7.790487587451935,0.294890423305332,0.3780478350818157,0.5992682759578412,0.0226838787157947,-0.2212204431423289
2020-07-28,0.642,0.632,0.652,0.632,1.26%,0.007,9.56215728726238,10.885181240737438,0.5526614142581809,0.4553408232029705,0.5183419638446399,0.0263172102027705,-0.0630011408148985
2020-07-29,0.64,0.641,0.642,0.628,-0.47%,-0.002,8.995985808316618,10.04261065274477,0.9614033969119185,0.4497992904158309,0.5021305326372385,0.0480701698455959,-0.0523312425930292
2020-08-02,0.637,0.64,0.641,0.629,-0.31%,-0.003,0.9578163125552236,5.92790749669075,0.1142762685194608,0.1368309017936033,0.8468439280986786,0.0163251812170658,-0.7100130184172936
2020-08-03,0.656,0.626,0.663,0.626,2.98%,0.019,14.864840039983392,11.634880813769996,1.5002795085310934,0.5308871442851212,0.4155314576346427,0.0535814110189676,0.1153556851579221
2020-08-04,0.652,0.654,0.669,0.651,-0.61%,-0.004,5.977098417002708,10.03544463030994,0.9874569401144976,0.351594024529571,0.5903202723711729,0.0580857023596763,-0.2387262480181589
2020-08-05,0.642,0.651,0.658,0.637,-1.61%,-0.01,12.242534393444656,17.572102210484445,2.1853631818667045,0.3825791997951455,0.5491281940776389,0.0682925994333345,-0.1665489953973525
