Date,Price,Open,High,Low,Change %,Change_num
2022-06-09,1.435,1.357,1.47,1.334,5.90%,0.08000000000000007
2022-06-08,1.355,1.313,1.368,1.299,5.28%,0.06800000000000006
2022-06-07,1.287,1.339,1.343,1.275,-2.65%,-0.03500000000000014
2022-06-06,1.322,1.253,1.334,1.248,4.09%,0.052000000000000046
2022-06-03,1.27,1.236,1.289,1.225,2.83%,0.03499999999999992
2022-06-02,1.235,1.183,1.248,1.173,4.57%,0.05400000000000005
2022-06-01,1.181,1.119,1.184,1.105,4.79%,0.05400000000000005
2022-05-31,1.127,1.055,1.148,1.027,7.95%,0.08299999999999996
2022-05-30,1.044,1.006,1.072,0.997,8.41%,0.08100000000000007
2022-05-27,0.963,0.996,1.004,0.932,-3.60%,-0.03600000000000003
2022-05-26,0.999,0.95,1.01,0.887,4.61%,0.04400000000000004
2022-05-25,0.955,0.972,0.979,0.908,0.10%,0.0010000000000000009
2022-05-24,0.954,1.019,1.033,0.94,-6.47%,-0.06600000000000006
2022-05-23,1.02,0.967,1.024,0.93,8.28%,0.07800000000000007
2022-05-20,0.942,0.981,1.001,0.933,0.21%,0.0020000000000000018
2022-05-19,0.94,1.033,1.044,0.9,-7.11%,-0.07200000000000006
2022-05-18,1.012,1.051,1.095,1.008,-4.17%,-0.04400000000000004
2022-05-17,1.056,0.94,1.063,0.936,12.70%,0.119
2022-05-16,0.937,0.945,1.014,0.926,-0.16%,-0.0014999999999999458
2022-05-14,0.9385,0.9385,0.9385,0.9385,-0.90%,-0.008499999999999952
2022-05-13,0.947,0.89,0.963,0.874,8.98%,0.07799999999999996
2022-05-12,0.869,0.927,0.931,0.846,-13.45%,-0.135
2022-05-11,1.004,1.031,1.092,0.959,0.10%,0.001000000000000112
2022-05-10,1.003,1.091,1.114,0.988,-7.81%,-0.08500000000000019
2022-05-09,1.088,1.135,1.189,1.086,-4.31%,-0.04899999999999993
2022-05-06,1.137,1.037,1.16,1.015,8.49%,0.08899999999999997
2022-05-05,1.048,0.972,1.049,0.909,7.16%,0.07000000000000006
2022-05-04,0.978,1.024,1.036,0.969,2.52%,0.02400000000000002
2022-05-03,0.954,0.956,1.016,0.91,-0.93%,-0.009000000000000008
2022-05-02,0.963,0.942,0.974,0.904,3.05%,0.02849999999999997
2022-04-29,0.9345,0.896,0.9525,0.8635,4.41%,0.03949999999999998
2022-04-28,0.895,0.804,0.915,0.77,10.49%,0.08499999999999996
2022-04-27,0.81,0.829,0.853,0.779,1.00%,0.008000000000000007
2022-04-26,0.802,0.882,0.891,0.789,-5.42%,-0.04599999999999993
2022-04-25,0.848,0.974,0.974,0.841,-11.94%,-0.11499999999999999
2022-04-22,0.963,0.945,0.973,0.918,4.11%,0.03799999999999992
2022-04-21,0.925,0.857,0.939,0.857,7.31%,0.06300000000000006
2022-04-20,0.862,0.922,0.944,0.835,-6.10%,-0.05600000000000005
2022-04-19,0.918,0.84,0.961,0.84,9.35%,0.07850000000000001
2022-04-18,0.8395,0.8425,0.8425,0.8395,0.00%,0.0
2022-04-15,0.8395,0.8425,0.8425,0.8395,0.06%,0.000500000000000056
2022-04-14,0.839,0.772,0.847,0.751,8.26%,0.06399999999999995
2022-04-13,0.775,0.798,0.861,0.758,-1.90%,-0.015000000000000013
2022-04-12,0.79,0.825,0.879,0.767,-2.83%,-0.02299999999999991
2022-04-11,0.813,0.707,0.822,0.707,14.51%,0.10299999999999998
2022-04-08,0.71,0.675,0.728,0.655,4.41%,0.029999999999999916
2022-04-07,0.68,0.651,0.722,0.613,4.94%,0.03200000000000003
2022-04-06,0.648,0.635,0.684,0.619,6.23%,0.038000000000000034
2022-04-05,0.61,0.529,0.628,0.516,17.99%,0.09299999999999997
2022-04-04,0.517,0.581,0.586,0.473,-8.66%,-0.04899999999999993
2022-04-01,0.566,0.58,0.626,0.558,3.47%,0.018999999999999906
2022-03-31,0.547,0.665,0.671,0.525,-16.87%,-0.11099999999999999
2022-03-30,0.658,0.624,0.72,0.613,2.65%,0.017000000000000015
2022-03-29,0.641,0.605,0.741,0.595,10.14%,0.05900000000000005
2022-03-28,0.582,0.607,0.631,0.556,2.11%,0.01200000000000001
2022-03-25,0.57,0.525,0.586,0.493,8.37%,0.04399999999999993
2022-03-24,0.526,0.466,0.555,0.444,9.81%,0.04700000000000004
2022-03-23,0.479,0.516,0.523,0.464,-5.15%,-0.026000000000000023
2022-03-22,0.505,0.478,0.53,0.467,10.02%,0.045999999999999985
2022-03-21,0.459,0.372,0.465,0.372,25.07%,0.09200000000000003
2022-03-18,0.367,0.399,0.408,0.337,-5.41%,-0.02100000000000002
2022-03-17,0.388,0.4,0.41,0.352,-1.27%,-0.0050000000000000044
2022-03-16,0.393,0.331,0.403,0.331,18.73%,0.062
2022-03-15,0.331,0.369,0.37,0.315,-11.26%,-0.04199999999999998
2022-03-14,0.373,0.272,0.379,0.265,38.15%,0.10299999999999998
2022-03-11,0.27,0.272,0.316,0.247,0.00%,0.0
2022-03-10,0.27,0.209,0.304,0.151,41.36%,0.07900000000000001
2022-03-09,0.191,0.112,0.215,0.09,78.50%,0.084
2022-03-08,0.107,-0.024,0.138,-0.038,-923.08%,0.12
2022-03-07,-0.013,-0.068,0.0001,-0.101,-87.13%,0.08800000000000001
2022-03-04,-0.101,0.011,0.017,-0.109,-559.09%,-0.123
2022-03-03,0.022,0.014,0.077,-0.002,120.00%,0.011999999999999999
2022-03-02,0.01,-0.068,0.023,-0.08,-114.49%,0.079
2022-03-01,-0.069,0.132,0.143,-0.072,-143.40%,-0.228
2022-02-28,0.159,0.167,0.213,0.153,-29.02%,-0.065
2022-02-25,0.224,0.17,0.235,0.145,30.99%,0.05299999999999999
2022-02-24,0.171,0.223,0.223,0.111,-24.00%,-0.05399999999999999
2022-02-23,0.225,0.233,0.266,0.216,-7.41%,-0.017999999999999988
2022-02-22,0.243,0.146,0.28,0.146,21.50%,0.04299999999999998
2022-02-21,0.2,0.201,0.237,0.174,-2.44%,-0.004999999999999977
2022-02-18,0.205,0.232,0.248,0.196,-12.02%,-0.028000000000000025
2022-02-17,0.233,0.254,0.279,0.226,-14.34%,-0.03900000000000001
2022-02-16,0.272,0.314,0.331,0.259,-12.54%,-0.03899999999999998
2022-02-15,0.311,0.258,0.326,0.252,13.92%,0.03799999999999998
2022-02-14,0.273,0.24,0.274,0.19,-6.51%,-0.01899999999999996
2022-02-11,0.292,0.299,0.301,0.249,0.00%,0.0
2022-02-10,0.292,0.23,0.295,0.212,32.73%,0.07199999999999998
2022-02-09,0.22,0.265,0.267,0.209,-16.67%,-0.04400000000000001
2022-02-08,0.264,0.243,0.275,0.203,17.86%,0.04000000000000001
